* Measurement data measured by REW V5.20.5
* Source:
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022/06/27 19:41:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: r70x L S1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 55.001 -57.5276
20.299999 55.021 -58.9739
20.600000 55.030 -60.0959
20.900000 55.058 -60.9101
21.200001 55.134 -61.5584
21.400000 55.213 -62.0113
21.799999 55.414 -63.1044
22.000000 55.522 -63.7814
22.400000 55.722 -65.3519
22.700001 55.855 -66.5917
23.000000 55.981 -67.7630
23.299999 56.106 -68.8307
23.600000 56.238 -69.8289
24.000000 56.427 -71.1582
24.299999 56.571 -72.2301
24.700001 56.742 -73.7694
25.000000 56.841 -74.9392
25.400000 56.936 -76.3857
25.799999 57.011 -77.5850
26.200001 57.094 -78.5465
26.500000 57.171 -79.2010
26.900000 57.290 -80.1263
27.200001 57.378 -80.9234
27.600000 57.476 -82.1075
28.000000 57.542 -83.2925
28.500000 57.604 -84.5497
29.000000 57.702 -85.5704
29.500000 57.864 -86.6993
30.000000 58.040 -88.2859
30.400000 58.144 -89.8504
30.700001 58.189 -91.0551
31.100000 58.212 -92.4688
31.500000 58.220 -93.5183
32.000000 58.266 -94.3774
32.500000 58.384 -95.1043
33.000000 58.541 -96.0546
33.500000 58.683 -97.2400
34.000000 58.790 -98.4492
34.500000 58.878 -99.5308
35.000000 58.964 -100.4955
35.500000 59.051 -101.4052
36.000000 59.136 -102.2660
36.500000 59.222 -103.0601
37.000000 59.318 -103.8245
37.500000 59.430 -104.6554
38.200001 59.605 -106.1435
38.700001 59.705 -107.4792
39.500000 59.721 -109.4275
40.000000 59.684 -109.9283
40.599998 59.734 -109.8743
41.200001 59.928 -110.3107
41.799999 60.081 -112.0055
42.500000 59.991 -114.1800
43.099998 59.828 -114.3883
43.700001 59.895 -113.6181
44.400002 60.245 -114.1108
45.000000 60.455 -116.3691
45.500000 60.465 -118.4624
46.200001 60.371 -120.4419
46.799999 60.356 -121.5444
47.500000 60.407 -123.1056
48.200001 60.435 -124.8202
48.700001 60.450 -125.8638
49.400002 60.492 -127.1965
50.000000 60.519 -128.3555
50.799999 60.527 -129.5217
51.500000 60.588 -130.1647
52.200001 60.696 -131.0728
53.000000 60.764 -132.3652
53.799999 60.800 -133.2110
54.500000 60.868 -133.9524
55.200001 60.900 -135.0268
56.000000 60.856 -136.0302
57.000000 60.825 -136.8223
58.000000 60.817 -137.5622
59.000000 60.953 -138.3821
60.000000 61.097 -141.1118
60.799999 60.971 -143.2718
61.500000 60.849 -143.8043
62.200001 60.895 -143.9329
63.000000 61.034 -144.9303
64.000000 61.076 -146.6741
65.000000 61.073 -147.8267
66.000000 61.072 -148.8515
67.000000 61.061 -149.6315
68.000000 61.086 -150.6317
69.000000 61.037 -152.0099
70.000000 60.929 -152.9664
71.000000 60.875 -153.7528
72.000000 60.831 -154.8189
73.000000 60.754 -155.9335
74.000000 60.658 -156.9223
75.000000 60.544 -157.7237
76.199997 60.366 -158.2200
77.500000 60.164 -157.7991
78.800003 60.052 -156.6004
80.000000 60.050 -155.2458
81.199997 60.151 -153.8935
82.500000 60.349 -153.2220
83.800003 60.504 -153.3906
85.000000 60.623 -153.8694
86.199997 60.719 -154.8068
87.500000 60.745 -156.0328
88.500000 60.728 -156.6461
90.000000 60.748 -156.9168
91.199997 60.826 -156.8878
92.500000 60.936 -157.1149
93.800003 60.954 -157.8264
95.000000 60.877 -158.4235
96.199997 60.795 -158.9331
97.500000 60.734 -159.7047
98.800003 60.668 -160.5715
100.000000 60.649 -160.7127
101.500000 60.839 -160.6720
103.000000 61.059 -161.3762
104.400002 61.191 -162.1278
106.000000 61.247 -162.9007
107.500000 61.247 -163.2944
109.000000 61.263 -163.6095
110.599998 61.286 -164.1883
112.000000 61.279 -164.8726
113.800003 61.254 -165.5708
115.000000 61.262 -165.9298
117.199997 61.279 -166.6377
118.000000 61.269 -166.7678
120.599998 61.249 -167.3436
122.000000 61.158 -167.8968
124.099998 61.066 -168.2508
125.000000 61.078 -168.5368
126.500000 61.102 -169.2418
128.000000 61.096 -169.8198
131.500000 61.048 -169.6275
132.000000 61.061 -169.5072
134.000000 61.145 -169.3749
136.000000 61.181 -169.8277
138.000000 61.060 -170.4702
140.000000 60.871 -170.6856
143.000000 60.830 -171.5699
145.000000 60.900 -172.3959
147.500000 61.006 -172.8388
150.000000 61.038 -173.2238
152.500000 60.967 -173.7595
155.000000 60.939 -173.8375
157.500000 60.964 -173.7360
160.000000 60.948 -173.7791
162.500000 60.906 -174.1267
165.000000 60.886 -174.7552
167.500000 60.872 -175.1723
170.000000 60.853 -175.3711
172.500000 60.802 -175.7071
175.000000 60.742 -176.1279
177.500000 60.741 -176.4595
180.000000 60.783 -176.7415
182.500000 60.789 -176.9596
185.000000 60.727 -177.2439
187.500000 60.632 -177.6302
190.000000 60.574 -178.0587
192.500000 60.554 -178.5107
195.000000 60.541 -178.9107
197.500000 60.510 -179.2642
200.000000 60.441 -179.4021
203.000000 60.382 -179.3042
206.000000 60.334 -179.3924
209.000000 60.272 -179.2443
212.000000 60.248 -178.9829
214.000000 60.246 -178.8800
218.000000 60.243 -178.8169
220.000000 60.225 -178.8452
224.000000 60.174 -178.8801
227.000000 60.151 -178.9897
230.000000 60.133 -179.2622
233.000000 60.127 -179.5838
236.000000 60.123 -179.7361
240.000000 60.108 -179.7593
243.000000 60.081 -179.7502
247.000000 60.058 -179.7781
250.000000 60.047 179.9883
254.000000 60.013 179.6142
258.000000 59.944 179.2683
262.000000 59.882 179.1543
265.000000 59.858 179.2421
269.000000 59.818 179.3702
272.000000 59.773 179.4085
276.000000 59.712 179.3924
280.000000 59.651 179.4247
285.000000 59.588 179.5277
290.000000 59.535 179.8011
295.000000 59.489 -179.9374
300.000000 59.434 -179.5125
304.000000 59.382 -179.3337
307.000000 59.355 -179.3000
311.000000 59.342 -179.1770
315.000000 59.368 -178.8612
320.000000 59.420 -178.5312
325.000000 59.416 -178.1986
330.000000 59.362 -177.9350
335.000000 59.330 -177.9622
340.000000 59.352 -178.2254
345.000000 59.344 -178.1945
350.000000 59.317 -177.9506
355.000000 59.325 -177.6853
360.000000 59.322 -177.2494
365.000000 59.300 -176.8871
370.000000 59.300 -176.5571
375.000000 59.308 -176.0983
382.000000 59.350 -175.8440
387.000000 59.354 -176.0356
395.000000 59.346 -176.5042
400.000000 59.377 -176.5282
406.000000 59.405 -176.1237
412.000000 59.382 -176.0783
418.000000 59.375 -176.3997
425.000000 59.380 -176.5338
431.000000 59.372 -176.4559
437.000000 59.325 -176.4130
444.000000 59.247 -176.4588
450.000000 59.207 -176.4393
455.000000 59.191 -176.3103
462.000000 59.158 -176.1826
468.000000 59.129 -176.0659
475.000000 59.132 -175.6871
482.000000 59.116 -175.2665
487.000000 59.080 -175.0887
494.000000 59.066 -174.9312
500.000000 59.057 -174.9692
508.000000 59.031 -174.8560
515.000000 59.019 -174.5990
522.000000 59.012 -174.4566
530.000000 59.005 -174.4060
538.000000 58.977 -174.7107
545.000000 58.863 -174.8609
552.000000 58.684 -174.0880
560.000000 58.628 -172.7676
570.000000 58.753 -171.9448
580.000000 58.811 -171.5954
590.000000 58.787 -171.3654
600.000000 58.719 -171.0039
608.000000 58.708 -170.4646
615.000000 58.738 -169.9071
622.000000 58.764 -169.3429
630.000000 58.785 -168.9312
640.000000 58.771 -168.7423
650.000000 58.762 -168.3234
660.000000 58.788 -167.8155
670.000000 58.817 -167.4568
680.000000 58.843 -167.2269
690.000000 58.856 -166.9283
700.000000 58.880 -166.5731
710.000000 58.886 -166.3029
720.000000 58.874 -166.1870
730.000000 58.862 -166.0964
740.000000 58.823 -165.6815
750.000000 58.767 -164.8857
762.000000 58.733 -163.8359
775.000000 58.744 -162.6606
788.000000 58.799 -161.5062
800.000000 58.877 -160.5998
812.000000 58.958 -159.8298
825.000000 59.034 -159.4185
838.000000 59.092 -159.2555
850.000000 59.131 -158.9833
862.000000 59.149 -158.6595
875.000000 59.140 -158.2321
885.000000 59.153 -157.6132
900.000000 59.221 -156.4112
912.000000 59.279 -155.5863
925.000000 59.327 -154.9282
938.000000 59.359 -154.3059
950.000000 59.427 -153.7829
962.000000 59.554 -153.4188
975.000000 59.665 -153.1380
988.000000 59.709 -152.9281
1000.000000 59.727 -152.6123
1015.000000 59.773 -152.0058
1030.000000 59.860 -151.3759
1044.000000 59.958 -151.0400
1060.000000 60.047 -150.8219
1075.000000 60.109 -150.4995
1090.000000 60.182 -150.1357
1106.000000 60.277 -149.8336
1120.000000 60.356 -149.6203
1138.000000 60.462 -149.3623
1150.000000 60.532 -149.3119
1172.000000 60.616 -149.2200
1180.000000 60.639 -149.1676
1206.000000 60.692 -148.9859
1220.000000 60.714 -148.7617
1241.000000 60.784 -148.2570
1250.000000 60.824 -148.0712
1265.000000 60.883 -147.8527
1280.000000 60.932 -147.6143
1315.000000 61.154 -147.0130
1320.000000 61.189 -146.9839
1340.000000 61.299 -147.0073
1360.000000 61.350 -146.9930
1380.000000 61.355 -146.5295
1400.000000 61.418 -145.7642
1430.000000 61.564 -145.2048
1450.000000 61.618 -144.8769
1475.000000 61.663 -144.0808
1500.000000 61.821 -142.9848
1525.000000 62.019 -142.8331
1550.000000 62.082 -142.8425
1575.000000 62.152 -142.0905
1600.000000 62.279 -141.1692
1625.000000 62.444 -140.6871
1650.000000 62.520 -140.3350
1675.000000 62.642 -139.5529
1700.000000 62.801 -138.9715
1725.000000 62.958 -138.3551
1750.000000 63.130 -137.9842
1775.000000 63.279 -137.6198
1800.000000 63.419 -137.1019
1825.000000 63.586 -136.5372
1850.000000 63.810 -136.0303
1875.000000 64.033 -136.0310
1900.000000 64.183 -135.9077
1925.000000 64.393 -135.3557
1950.000000 64.675 -135.2713
1975.000000 64.890 -135.8116
2000.000000 65.028 -136.0571
2030.000000 65.277 -135.9512
2060.000000 65.555 -136.5306
2090.000000 65.730 -137.3670
2120.000000 65.925 -137.5358
2140.000000 66.119 -137.8760
2180.000000 66.369 -139.3779
2200.000000 66.448 -139.7617
2240.000000 66.707 -140.3949
2270.000000 66.902 -141.3797
2300.000000 67.069 -142.2898
2330.000000 67.252 -143.3727
2360.000000 67.391 -144.5881
2400.000000 67.599 -146.2632
2430.000000 67.699 -147.7867
2470.000000 67.833 -149.3824
2500.000000 67.969 -150.9267
2540.000000 68.073 -153.4740
2580.000000 68.130 -156.3478
2620.000000 68.049 -160.1768
2650.000000 67.775 -163.1312
2690.000000 67.118 -165.6522
2720.000000 66.459 -165.1068
2760.000000 65.886 -160.5238
2800.000000 66.116 -155.9455
2850.000000 66.758 -154.8298
2900.000000 67.197 -156.6056
2950.000000 67.343 -159.3857
3000.000000 67.344 -161.6929
3040.000000 67.273 -163.5736
3070.000000 67.174 -164.7016
3110.000000 67.025 -166.1251
3150.000000 66.783 -167.2072
3200.000000 66.473 -167.1235
3250.000000 66.445 -166.1491
3300.000000 66.647 -167.1275
3350.000000 66.599 -169.7973
3400.000000 66.333 -171.7446
3450.000000 66.069 -172.9298
3500.000000 65.798 -174.2149
3550.000000 65.498 -175.0673
3600.000000 65.226 -175.9854
3650.000000 64.968 -176.9307
3700.000000 64.688 -178.2790
3750.000000 64.340 -179.7254
3820.000000 63.714 178.3773
3870.000000 63.179 177.4468
3950.000000 62.175 176.8475
4000.000000 61.476 177.4562
4060.000000 60.636 179.2104
4120.000000 59.836 -178.0280
4180.000000 59.124 -174.5239
4250.000000 58.425 -170.0102
4310.000000 57.928 -165.7859
4370.000000 57.552 -161.5020
4440.000000 57.272 -156.8179
4500.000000 57.127 -153.0397
4550.000000 57.050 -150.1291
4620.000000 56.953 -146.3643
4680.000000 56.880 -143.2558
4750.000000 56.829 -139.7663
4820.000000 56.798 -136.6139
4870.000000 56.759 -134.5769
4940.000000 56.662 -131.8353
5000.000000 56.548 -129.3756
5080.000000 56.372 -125.6834
5150.000000 56.245 -122.0524
