* Measurement data measured by REW V5.20.5
* Source:
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022/06/27 19:40:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: r70x R S1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 55.344 -58.7070
20.299999 55.406 -59.6301
20.600000 55.498 -60.4847
20.900000 55.626 -61.4636
21.200001 55.775 -62.7498
21.400000 55.866 -63.7903
21.799999 55.997 -66.1239
22.000000 56.029 -67.2810
22.400000 56.037 -69.2480
22.700001 56.041 -70.2699
23.000000 56.088 -70.9347
23.299999 56.197 -71.4615
23.600000 56.357 -72.0748
24.000000 56.611 -73.2787
24.299999 56.790 -74.4781
24.700001 56.975 -76.2467
25.000000 57.071 -77.4908
25.400000 57.172 -78.8757
25.799999 57.278 -79.9899
26.200001 57.403 -81.0154
26.500000 57.497 -81.8086
26.900000 57.610 -82.8979
27.200001 57.681 -83.6900
27.600000 57.768 -84.6657
28.000000 57.857 -85.5925
28.500000 57.979 -86.8541
29.000000 58.088 -88.3082
29.500000 58.166 -89.7841
30.000000 58.226 -91.0751
30.400000 58.287 -91.9931
30.700001 58.347 -92.6806
31.100000 58.439 -93.6608
31.500000 58.528 -94.7022
32.000000 58.627 -95.9823
32.500000 58.724 -97.1486
33.000000 58.831 -98.2293
33.500000 58.943 -99.2928
34.000000 59.053 -100.3757
34.500000 59.157 -101.5216
35.000000 59.244 -102.7830
35.500000 59.285 -104.0954
36.000000 59.273 -105.2071
36.500000 59.239 -105.8807
37.000000 59.243 -106.1787
37.500000 59.315 -106.4607
38.200001 59.486 -107.4140
38.700001 59.596 -108.4713
39.500000 59.703 -110.1997
40.000000 59.753 -111.1405
40.599998 59.825 -112.2620
41.200001 59.889 -113.6474
41.799999 59.883 -115.2520
42.500000 59.759 -116.5380
43.099998 59.682 -116.4134
43.700001 59.808 -115.7838
44.400002 60.158 -116.1858
45.000000 60.397 -117.9257
45.500000 60.472 -119.5954
46.200001 60.485 -121.3013
46.799999 60.525 -122.3502
47.500000 60.586 -123.7679
48.200001 60.590 -125.0834
48.700001 60.590 -125.6473
49.400002 60.660 -126.2489
50.000000 60.750 -127.1571
50.799999 60.784 -128.7516
51.500000 60.758 -129.7828
52.200001 60.772 -130.5494
53.000000 60.829 -131.6150
53.799999 60.874 -132.6993
54.500000 60.935 -133.5494
55.200001 61.023 -134.5680
56.000000 61.103 -136.0700
57.000000 61.091 -137.9321
58.000000 61.029 -138.7020
59.000000 61.139 -139.0974
60.000000 61.286 -140.5912
60.799999 61.322 -142.0242
61.500000 61.319 -143.0994
62.200001 61.303 -143.9456
63.000000 61.309 -144.6598
64.000000 61.374 -145.7260
65.000000 61.421 -147.1933
66.000000 61.431 -148.7052
67.000000 61.403 -150.2136
68.000000 61.338 -151.4589
69.000000 61.291 -152.4028
70.000000 61.270 -153.5031
71.000000 61.192 -154.8681
72.000000 61.030 -155.9410
73.000000 60.842 -156.5612
74.000000 60.656 -156.8731
75.000000 60.480 -156.9091
76.199997 60.304 -156.5641
77.500000 60.210 -155.8922
78.800003 60.222 -155.2649
80.000000 60.315 -154.6116
81.199997 60.493 -154.1274
82.500000 60.663 -153.8971
83.800003 60.844 -153.4702
85.000000 61.033 -153.5308
86.199997 61.164 -154.0700
87.500000 61.239 -154.9428
88.500000 61.255 -155.6141
90.000000 61.297 -156.4146
91.199997 61.342 -157.3423
92.500000 61.301 -158.2702
93.800003 61.258 -158.7504
95.000000 61.261 -159.3330
96.199997 61.292 -160.2379
97.500000 61.331 -161.7082
98.800003 61.261 -163.4115
100.000000 61.063 -163.7626
101.500000 60.987 -162.2296
103.000000 61.143 -161.1136
104.400002 61.284 -160.9861
106.000000 61.374 -161.2421
107.500000 61.443 -161.5648
109.000000 61.499 -161.8748
110.599998 61.556 -162.1077
112.000000 61.607 -162.6521
113.800003 61.576 -163.9021
115.000000 61.525 -164.6715
117.199997 61.464 -165.8034
118.000000 61.456 -165.9879
120.599998 61.546 -166.1833
122.000000 61.602 -166.4343
124.099998 61.629 -166.7189
125.000000 61.645 -166.7170
126.500000 61.687 -166.8000
128.000000 61.711 -167.0669
131.500000 61.667 -168.7246
132.000000 61.648 -169.0611
134.000000 61.559 -170.2768
136.000000 61.476 -170.7880
138.000000 61.417 -170.5667
140.000000 61.338 -169.8629
143.000000 61.339 -169.2735
145.000000 61.328 -169.8598
147.500000 61.336 -170.6503
150.000000 61.394 -171.3707
152.500000 61.415 -171.9713
155.000000 61.407 -172.0795
157.500000 61.404 -172.3875
160.000000 61.375 -172.8331
162.500000 61.383 -173.0861
165.000000 61.404 -173.2048
167.500000 61.401 -173.3454
170.000000 61.372 -173.7208
172.500000 61.354 -174.2108
175.000000 61.379 -174.5939
177.500000 61.392 -174.8426
180.000000 61.347 -174.9464
182.500000 61.283 -175.1302
185.000000 61.238 -175.5341
187.500000 61.206 -176.0321
190.000000 61.163 -176.3592
192.500000 61.131 -176.4730
195.000000 61.129 -176.5336
197.500000 61.128 -176.6024
200.000000 61.087 -176.7443
203.000000 60.983 -176.7264
206.000000 60.947 -176.5761
209.000000 60.964 -176.8451
212.000000 60.976 -177.3791
214.000000 60.979 -177.7155
218.000000 60.962 -177.9668
220.000000 60.948 -177.9117
224.000000 60.908 -177.9621
227.000000 60.864 -178.1560
230.000000 60.827 -178.2979
233.000000 60.823 -178.3796
236.000000 60.831 -178.5111
240.000000 60.814 -178.6792
243.000000 60.793 -178.8229
247.000000 60.762 -179.0408
250.000000 60.734 -179.1447
254.000000 60.714 -179.2270
258.000000 60.708 -179.2585
262.000000 60.699 -179.2409
265.000000 60.689 -179.3379
269.000000 60.662 -179.6142
272.000000 60.634 -179.7959
276.000000 60.588 -179.8528
280.000000 60.547 -179.7608
285.000000 60.520 -179.9062
290.000000 60.532 -179.9687
295.000000 60.510 179.9665
300.000000 60.461 179.8625
304.000000 60.429 179.9259
307.000000 60.398 179.9356
311.000000 60.362 -179.9980
315.000000 60.332 -179.7938
320.000000 60.302 -179.4736
325.000000 60.283 -179.4576
330.000000 60.283 -179.6694
335.000000 60.258 -179.6654
340.000000 60.215 -179.7801
345.000000 60.204 179.9763
350.000000 60.149 179.8109
355.000000 60.118 179.8693
360.000000 60.119 -179.9723
365.000000 60.087 -179.8369
370.000000 60.042 -179.5996
375.000000 60.007 -179.3671
382.000000 59.988 -179.2539
387.000000 59.971 -179.1064
395.000000 59.900 -179.1305
400.000000 59.819 -178.9563
406.000000 59.771 -178.5954
412.000000 59.743 -178.5325
418.000000 59.715 -178.4364
425.000000 59.683 -178.0399
431.000000 59.684 -177.7836
437.000000 59.707 -177.4504
444.000000 59.725 -177.1002
450.000000 59.725 -176.9890
455.000000 59.711 -176.9422
462.000000 59.680 -176.7960
468.000000 59.662 -176.8026
475.000000 59.659 -177.0552
482.000000 59.614 -177.1551
487.000000 59.579 -176.9995
494.000000 59.533 -176.5233
500.000000 59.497 -176.0146
508.000000 59.446 -175.4272
515.000000 59.442 -175.0537
522.000000 59.448 -174.8658
530.000000 59.439 -174.5040
538.000000 59.462 -173.8981
545.000000 59.515 -173.6061
552.000000 59.531 -173.5232
560.000000 59.504 -173.5254
570.000000 59.493 -173.4644
580.000000 59.474 -173.4672
590.000000 59.429 -173.4665
600.000000 59.384 -173.5098
608.000000 59.310 -173.6425
615.000000 59.187 -173.5278
622.000000 59.037 -172.6513
630.000000 58.984 -171.1529
640.000000 59.062 -169.9638
650.000000 59.169 -169.4025
660.000000 59.265 -168.9878
670.000000 59.309 -168.7855
680.000000 59.312 -168.5693
690.000000 59.289 -168.2163
700.000000 59.257 -167.9442
710.000000 59.242 -167.7406
720.000000 59.214 -167.4043
730.000000 59.167 -167.0591
740.000000 59.140 -166.6494
750.000000 59.128 -166.0926
762.000000 59.108 -165.3124
775.000000 59.085 -164.4370
788.000000 59.069 -163.4515
800.000000 59.057 -162.5174
812.000000 59.082 -161.6212
825.000000 59.161 -160.5561
838.000000 59.246 -159.6502
850.000000 59.315 -158.9801
862.000000 59.378 -158.4280
875.000000 59.461 -157.8463
885.000000 59.500 -157.4218
900.000000 59.522 -156.8616
912.000000 59.571 -156.2664
925.000000 59.652 -155.5823
938.000000 59.703 -155.0721
950.000000 59.771 -154.7262
962.000000 59.860 -154.3986
975.000000 59.935 -154.0899
988.000000 59.973 -153.8057
1000.000000 59.981 -153.4413
1015.000000 60.018 -152.7906
1030.000000 60.084 -151.9857
1044.000000 60.167 -151.2390
1060.000000 60.271 -150.7013
1075.000000 60.382 -150.3125
1090.000000 60.489 -149.9247
1106.000000 60.597 -149.7034
1120.000000 60.688 -149.6655
1138.000000 60.794 -149.7448
1150.000000 60.853 -149.8099
1172.000000 60.938 -149.8244
1180.000000 60.962 -149.8186
1206.000000 60.990 -149.7108
1220.000000 60.999 -149.4019
1241.000000 61.063 -148.9982
1250.000000 61.095 -148.9246
1265.000000 61.145 -148.8139
1280.000000 61.196 -148.6849
1315.000000 61.320 -148.3448
1320.000000 61.338 -148.2563
1340.000000 61.416 -147.9971
1360.000000 61.454 -147.9118
1380.000000 61.446 -147.4166
1400.000000 61.503 -146.6566
1430.000000 61.645 -145.9265
1450.000000 61.683 -145.5739
1475.000000 61.701 -144.9137
1500.000000 61.820 -143.8205
1525.000000 61.996 -143.4626
1550.000000 62.041 -143.1985
1575.000000 62.110 -142.1844
1600.000000 62.273 -141.3366
1625.000000 62.444 -141.0025
1650.000000 62.544 -140.7371
1675.000000 62.645 -140.0831
1700.000000 62.807 -139.4434
1725.000000 62.968 -138.9462
1750.000000 63.154 -138.4512
1775.000000 63.324 -138.2011
1800.000000 63.464 -137.8320
1825.000000 63.623 -137.3236
1850.000000 63.835 -136.9350
1875.000000 64.037 -137.0730
1900.000000 64.156 -136.9998
1925.000000 64.337 -136.4871
1950.000000 64.589 -136.4536
1975.000000 64.789 -136.9117
2000.000000 64.912 -137.1660
2030.000000 65.126 -136.8985
2060.000000 65.424 -137.2605
2090.000000 65.606 -138.0876
2120.000000 65.766 -138.1266
2140.000000 65.955 -138.1720
2180.000000 66.267 -139.5154
2200.000000 66.352 -139.9535
2240.000000 66.641 -140.4921
2270.000000 66.873 -141.5164
2300.000000 67.062 -142.6103
2330.000000 67.249 -143.6793
2360.000000 67.424 -144.9072
2400.000000 67.653 -146.7850
2430.000000 67.776 -148.3388
2470.000000 67.989 -150.2478
2500.000000 68.153 -152.3812
2540.000000 68.227 -155.5493
2580.000000 68.272 -158.8891
2620.000000 68.119 -163.3749
2650.000000 67.732 -166.3548
2690.000000 66.938 -168.1347
2720.000000 66.245 -166.3671
2760.000000 65.913 -160.5345
2800.000000 66.408 -156.9060
2850.000000 66.996 -157.4757
2900.000000 67.314 -159.7714
2950.000000 67.336 -162.6456
3000.000000 67.240 -164.5770
3040.000000 67.119 -166.0245
3070.000000 66.997 -166.8270
3110.000000 66.836 -167.7123
3150.000000 66.624 -168.3152
3200.000000 66.396 -167.5980
3250.000000 66.492 -166.7176
3300.000000 66.702 -168.1131
3350.000000 66.616 -170.7487
3400.000000 66.343 -172.3682
3450.000000 66.089 -173.0665
3500.000000 65.874 -173.8022
3550.000000 65.686 -174.3324
3600.000000 65.509 -175.3020
3650.000000 65.326 -176.1806
3700.000000 65.146 -177.4327
3750.000000 64.928 -178.8039
3820.000000 64.507 178.7664
3870.000000 64.113 177.1234
3950.000000 63.306 174.8633
4000.000000 62.688 174.0380
4060.000000 61.827 174.0427
4120.000000 60.936 175.3390
4180.000000 60.065 178.0513
4250.000000 59.238 -177.8071
4310.000000 58.708 -174.2076
4370.000000 58.257 -170.8957
4440.000000 57.792 -167.0033
4500.000000 57.467 -163.4277
4550.000000 57.283 -160.4769
4620.000000 57.107 -156.7702
4680.000000 56.943 -154.0500
4750.000000 56.703 -150.8690
4820.000000 56.449 -147.4610
4870.000000 56.277 -144.9050
4940.000000 56.051 -141.1084
5000.000000 55.893 -137.7245
5080.000000 55.744 -133.1928
5150.000000 55.640 -129.2741
