* Measurement data measured by REW V5.20.5
* Source: Rohsa A Target Filtered
* Format: 
* Dated: 2022/03/22 18:24:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -19.1 dB
* Note: 
* Measurement: Rohsa C Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
20.000000 81.572
20.299999 81.570
20.600000 81.567
20.900000 81.565
21.200001 81.562
21.400000 81.560
21.799999 81.557
22.000000 81.555
22.400000 81.552
22.700001 81.550
23.000000 81.548
23.299999 81.545
23.600000 81.543
24.000000 81.540
24.299999 81.538
24.700001 81.535
25.000000 81.533
25.400000 81.531
25.799999 81.528
26.200001 81.525
26.500000 81.523
26.900000 81.521
27.200001 81.519
27.600000 81.516
28.000000 81.514
28.500000 81.510
29.000000 81.507
29.500000 81.503
30.000000 81.500
30.400000 81.497
30.700001 81.494
31.100000 81.491
31.500000 81.488
32.000000 81.483
32.500000 81.478
33.000000 81.473
33.500000 81.467
34.000000 81.461
34.500000 81.454
35.000000 81.447
35.500000 81.440
36.000000 81.431
36.500000 81.422
37.000000 81.413
37.500000 81.402
38.200001 81.386
38.700001 81.374
39.500000 81.353
40.000000 81.338
40.599998 81.320
41.200001 81.300
41.799999 81.278
42.500000 81.251
43.099998 81.227
43.700001 81.201
44.400002 81.169
45.000000 81.140
45.500000 81.115
46.200001 81.078
46.799999 81.045
47.500000 81.005
48.200001 80.963
48.700001 80.931
49.400002 80.886
50.000000 80.847
50.799999 80.792
51.500000 80.742
52.200001 80.691
53.000000 80.632
53.799999 80.571
54.500000 80.516
55.200001 80.461
56.000000 80.397
57.000000 80.315
58.000000 80.232
59.000000 80.148
60.000000 80.063
60.799999 79.995
61.500000 79.935
62.200001 79.876
63.000000 79.807
64.000000 79.722
65.000000 79.636
66.000000 79.551
67.000000 79.467
68.000000 79.383
69.000000 79.299
70.000000 79.217
71.000000 79.135
72.000000 79.054
73.000000 78.974
74.000000 78.895
75.000000 78.817
76.199997 78.724
77.500000 78.625
78.800003 78.528
80.000000 78.440
81.199997 78.353
82.500000 78.261
83.800003 78.170
85.000000 78.088
86.199997 78.006
87.500000 77.920
88.500000 77.854
90.000000 77.758
91.199997 77.682
92.500000 77.601
93.800003 77.521
95.000000 77.449
96.199997 77.378
97.500000 77.302
98.800003 77.227
100.000000 77.159
101.500000 77.075
103.000000 76.993
104.400002 76.917
106.000000 76.833
107.500000 76.755
109.000000 76.678
110.599998 76.598
112.000000 76.529
113.800003 76.442
115.000000 76.385
117.199997 76.283
118.000000 76.246
120.599998 76.130
122.000000 76.069
124.099998 75.980
125.000000 75.942
126.500000 75.881
128.000000 75.820
131.500000 75.684
132.000000 75.665
134.000000 75.591
136.000000 75.519
138.000000 75.449
140.000000 75.381
143.000000 75.282
145.000000 75.219
147.500000 75.143
150.000000 75.069
152.500000 74.999
155.000000 74.931
157.500000 74.866
160.000000 74.804
162.500000 74.744
165.000000 74.686
167.500000 74.631
170.000000 74.579
