* Measurement data measured by REW V5.20.5
* Source: IEF Neutral Target IEM Filtered
* Format: 
* Dated: 2022/05/26 17:59:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -3.6 dB
* Note: 
* Measurement: Rohsa 1.1A Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 19.500 Hz
*
* Freq(Hz) SPL(dB)
19.500000 74.982
19.750000 74.982
20.000000 74.982
20.299999 74.982
20.600000 74.982
20.900000 74.982
21.200001 74.982
21.400000 74.982
21.799999 74.982
22.000000 74.982
22.400000 74.982
22.700001 74.982
23.000000 74.982
23.299999 74.982
23.600000 74.982
24.000000 74.982
24.299999 74.982
24.700001 74.982
25.000000 74.982
25.400000 74.982
25.799999 74.982
26.200001 74.982
26.500000 74.982
26.900000 74.982
27.200001 74.982
27.600000 74.982
28.000000 74.982
28.500000 74.982
29.000000 74.982
29.500000 74.982
30.000000 74.982
30.400000 74.982
30.700001 74.982
31.100000 74.982
31.500000 74.982
32.000000 74.982
32.500000 74.982
33.000000 74.982
33.500000 74.982
34.000000 74.982
34.500000 74.982
35.000000 74.982
35.500000 74.982
36.000000 74.982
36.500000 74.982
37.000000 74.982
37.500000 74.982
38.200001 74.982
38.700001 74.982
39.500000 74.982
40.000000 74.982
40.599998 74.982
41.200001 74.982
41.799999 74.982
42.500000 74.982
43.099998 74.982
43.700001 74.982
44.400002 74.982
45.000000 74.982
45.500000 74.982
46.200001 74.982
46.799999 74.982
47.500000 74.982
48.200001 74.982
48.700001 74.982
49.400002 74.982
50.000000 74.982
50.799999 74.982
51.500000 74.982
52.200001 74.982
53.000000 74.982
53.799999 74.982
54.500000 74.982
55.200001 74.982
56.000000 74.982
57.000000 74.982
58.000000 74.982
59.000000 74.982
60.000000 74.982
60.799999 74.982
61.500000 74.982
62.200001 74.982
63.000000 74.982
64.000000 74.982
65.000000 74.982
66.000000 74.982
67.000000 74.982
68.000000 74.982
69.000000 74.982
70.000000 74.982
71.000000 74.982
72.000000 74.982
73.000000 74.982
74.000000 74.982
75.000000 74.982
76.199997 74.982
77.500000 74.982
78.800003 74.982
80.000000 74.982
81.199997 74.982
82.500000 74.982
83.800003 74.982
85.000000 74.982
86.199997 74.982
87.500000 74.982
88.500000 74.982
90.000000 74.982
91.199997 74.982
92.500000 74.982
93.800003 74.982
95.000000 74.982
96.199997 74.982
97.500000 74.982
98.800003 74.982
100.000000 74.982
101.500000 74.982
103.000000 74.982
104.400002 74.982
106.000000 74.983
107.500000 74.983
109.000000 74.983
110.599998 74.983
112.000000 74.983
113.800003 74.983
115.000000 74.983
117.199997 74.983
118.000000 74.983
120.599998 74.983
122.000000 74.983
124.099998 74.983
125.000000 74.983
126.500000 74.983
128.000000 74.983
131.500000 74.983
132.000000 74.983
134.000000 74.983
136.000000 74.983
138.000000 74.983
140.000000 74.983
143.000000 74.983
145.000000 74.983
147.500000 74.983
150.000000 74.983
152.500000 74.983
155.000000 74.983
157.500000 74.983
160.000000 74.983
