* Measurement data measured by REW V5.20.5
* Source: Rohsa 1.1A Target Filtered
* Format: 
* Dated: 2022/05/26 18:08:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -3.5 dB
* Note: 
* Measurement: Rohsa 1.1C Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 19.500 Hz
*
* Freq(Hz) SPL(dB)
19.500000 82.330
19.750000 82.329
20.000000 82.328
20.299999 82.325
20.600000 82.323
20.900000 82.320
21.200001 82.318
21.400000 82.316
21.799999 82.313
22.000000 82.311
22.400000 82.308
22.700001 82.306
23.000000 82.303
23.299999 82.301
23.600000 82.299
24.000000 82.296
24.299999 82.294
24.700001 82.291
25.000000 82.289
25.400000 82.287
25.799999 82.284
26.200001 82.281
26.500000 82.280
26.900000 82.277
27.200001 82.275
27.600000 82.273
28.000000 82.270
28.500000 82.267
29.000000 82.264
29.500000 82.260
30.000000 82.257
30.400000 82.254
30.700001 82.251
31.100000 82.248
31.500000 82.245
32.000000 82.240
32.500000 82.236
33.000000 82.231
33.500000 82.225
34.000000 82.219
34.500000 82.213
35.000000 82.206
35.500000 82.198
36.000000 82.190
36.500000 82.181
37.000000 82.172
37.500000 82.162
38.200001 82.146
38.700001 82.134
39.500000 82.113
40.000000 82.099
40.599998 82.080
41.200001 82.061
41.799999 82.040
42.500000 82.013
43.099998 81.989
43.700001 81.964
44.400002 81.932
45.000000 81.904
45.500000 81.879
46.200001 81.842
46.799999 81.810
47.500000 81.770
48.200001 81.728
48.700001 81.698
49.400002 81.653
50.000000 81.614
50.799999 81.560
51.500000 81.511
52.200001 81.461
53.000000 81.402
53.799999 81.342
54.500000 81.288
55.200001 81.234
56.000000 81.170
57.000000 81.090
58.000000 81.008
59.000000 80.925
60.000000 80.842
60.799999 80.775
61.500000 80.717
62.200001 80.658
63.000000 80.591
64.000000 80.507
65.000000 80.423
66.000000 80.340
67.000000 80.257
68.000000 80.175
69.000000 80.094
70.000000 80.013
71.000000 79.933
72.000000 79.854
73.000000 79.776
74.000000 79.699
75.000000 79.623
76.199997 79.533
77.500000 79.438
78.800003 79.344
80.000000 79.259
81.199997 79.175
82.500000 79.086
83.800003 78.999
85.000000 78.920
86.199997 78.842
87.500000 78.759
88.500000 78.697
90.000000 78.604
91.199997 78.532
92.500000 78.455
93.800003 78.379
95.000000 78.311
96.199997 78.243
97.500000 78.171
98.800003 78.100
100.000000 78.036
101.500000 77.957
103.000000 77.880
104.400002 77.809
106.000000 77.729
107.500000 77.656
109.000000 77.585
110.599998 77.510
112.000000 77.445
113.800003 77.364
115.000000 77.311
117.199997 77.216
118.000000 77.182
120.599998 77.075
122.000000 77.018
124.099998 76.935
125.000000 76.901
126.500000 76.844
128.000000 76.788
131.500000 76.663
132.000000 76.645
134.000000 76.577
136.000000 76.511
138.000000 76.447
140.000000 76.384
143.000000 76.294
145.000000 76.237
147.500000 76.168
150.000000 76.101
152.500000 76.037
155.000000 75.976
157.500000 75.917
160.000000 75.861
162.500000 75.807
165.000000 75.755
167.500000 75.706
170.000000 75.659
172.500000 75.614
175.000000 75.570
177.500000 75.529
180.000000 75.490
