* Measurement data measured by REW V5.20.5
* Source: Rohsa 1.1A Target Filtered
* Format: 
* Dated: 2022/05/26 18:11:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -3.5 dB
* Note: 
* Measurement: Rohsa 1.1D Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 19.500 Hz
*
* Freq(Hz) SPL(dB)
19.500000 82.179
19.750000 82.179
20.000000 82.179
20.299999 82.178
20.600000 82.178
20.900000 82.178
21.200001 82.178
21.400000 82.177
21.799999 82.177
22.000000 82.177
22.400000 82.176
22.700001 82.176
23.000000 82.176
23.299999 82.175
23.600000 82.175
24.000000 82.174
24.299999 82.174
24.700001 82.173
25.000000 82.173
25.400000 82.172
25.799999 82.172
26.200001 82.171
26.500000 82.171
26.900000 82.170
27.200001 82.169
27.600000 82.168
28.000000 82.168
28.500000 82.166
29.000000 82.165
29.500000 82.164
30.000000 82.163
30.400000 82.162
30.700001 82.161
31.100000 82.160
31.500000 82.158
32.000000 82.157
32.500000 82.155
33.000000 82.153
33.500000 82.152
34.000000 82.150
34.500000 82.148
35.000000 82.146
35.500000 82.143
36.000000 82.141
36.500000 82.139
37.000000 82.136
37.500000 82.134
38.200001 82.130
38.700001 82.127
39.500000 82.122
40.000000 82.119
40.599998 82.115
41.200001 82.111
41.799999 82.107
42.500000 82.102
43.099998 82.097
43.700001 82.092
44.400002 82.086
45.000000 82.081
45.500000 82.076
46.200001 82.069
46.799999 82.063
47.500000 82.056
48.200001 82.048
48.700001 82.043
49.400002 82.035
50.000000 82.027
50.799999 82.017
51.500000 82.008
52.200001 81.998
53.000000 81.987
53.799999 81.975
54.500000 81.964
55.200001 81.953
56.000000 81.940
57.000000 81.922
58.000000 81.904
59.000000 81.885
60.000000 81.865
60.799999 81.849
61.500000 81.834
62.200001 81.819
63.000000 81.801
64.000000 81.778
65.000000 81.754
66.000000 81.729
67.000000 81.704
68.000000 81.678
69.000000 81.651
70.000000 81.624
71.000000 81.595
72.000000 81.567
73.000000 81.538
74.000000 81.508
75.000000 81.478
76.199997 81.441
77.500000 81.401
78.800003 81.360
80.000000 81.323
81.199997 81.285
82.500000 81.244
83.800003 81.203
85.000000 81.165
86.199997 81.127
87.500000 81.087
88.500000 81.056
90.000000 81.009
91.199997 80.972
92.500000 80.932
93.800003 80.892
95.000000 80.855
96.199997 80.819
97.500000 80.779
98.800003 80.740
100.000000 80.703
101.500000 80.657
103.000000 80.611
104.400002 80.568
106.000000 80.518
107.500000 80.471
109.000000 80.424
110.599998 80.373
112.000000 80.328
113.800003 80.270
115.000000 80.231
117.199997 80.159
118.000000 80.133
120.599998 80.047
122.000000 80.001
124.099998 79.931
125.000000 79.901
126.500000 79.850
128.000000 79.800
131.500000 79.683
132.000000 79.666
134.000000 79.599
136.000000 79.532
138.000000 79.465
140.000000 79.398
143.000000 79.299
145.000000 79.232
147.500000 79.150
150.000000 79.067
152.500000 78.985
155.000000 78.904
157.500000 78.822
160.000000 78.741
162.500000 78.659
165.000000 78.578
167.500000 78.497
170.000000 78.416
172.500000 78.336
175.000000 78.255
177.500000 78.175
180.000000 78.095
182.500000 78.015
185.000000 77.936
187.500000 77.857
190.000000 77.778
192.500000 77.700
195.000000 77.623
197.500000 77.546
200.000000 77.471
203.000000 77.381
206.000000 77.293
209.000000 77.206
212.000000 77.121
214.000000 77.065
218.000000 76.956
220.000000 76.902
224.000000 76.798
227.000000 76.722
230.000000 76.649
233.000000 76.577
236.000000 76.507
240.000000 76.418
243.000000 76.354
247.000000 76.271
250.000000 76.212
254.000000 76.136
258.000000 76.063
262.000000 75.995
265.000000 75.946
269.000000 75.883
272.000000 75.839
276.000000 75.782
280.000000 75.729
285.000000 75.667
290.000000 75.610
295.000000 75.557
300.000000 75.508
304.000000 75.472
307.000000 75.446
311.000000 75.414
315.000000 75.385
320.000000 75.350
325.000000 75.319
330.000000 75.290
335.000000 75.264
340.000000 75.241
345.000000 75.219
350.000000 75.200
355.000000 75.182
360.000000 75.166
365.000000 75.152
370.000000 75.139
375.000000 75.127
382.000000 75.113
387.000000 75.103
395.000000 75.090
400.000000 75.083
406.000000 75.076
412.000000 75.069
418.000000 75.063
425.000000 75.057
431.000000 75.052
437.000000 75.048
444.000000 75.044
450.000000 75.041
455.000000 75.038
462.000000 75.035
468.000000 75.033
475.000000 75.030
482.000000 75.028
487.000000 75.027
494.000000 75.025
500.000000 75.024
508.000000 75.022
515.000000 75.021
522.000000 75.020
530.000000 75.019
538.000000 75.018
545.000000 75.017
552.000000 75.016
560.000000 75.015
570.000000 75.015
580.000000 75.014
590.000000 75.015
600.000000 75.015
608.000000 75.016
615.000000 75.018
622.000000 75.020
630.000000 75.022
640.000000 75.027
650.000000 75.033
660.000000 75.041
670.000000 75.050
680.000000 75.062
690.000000 75.075
700.000000 75.091
710.000000 75.108
720.000000 75.128
730.000000 75.149
740.000000 75.172
750.000000 75.197
762.000000 75.229
775.000000 75.265
788.000000 75.303
800.000000 75.339
812.000000 75.378
825.000000 75.426
838.000000 75.485
850.000000 75.548
862.000000 75.610
875.000000 75.670
885.000000 75.718
900.000000 75.797
912.000000 75.866
925.000000 75.942
938.000000 76.017
950.000000 76.087
962.000000 76.157
975.000000 76.228
988.000000 76.297
1000.000000 76.363
1015.000000 76.456
1030.000000 76.559
1044.000000 76.659
1060.000000 76.767
1075.000000 76.865
1090.000000 76.963
1106.000000 77.067
1120.000000 77.156
1138.000000 77.268
1150.000000 77.342
1172.000000 77.480
1180.000000 77.532
1206.000000 77.705
1220.000000 77.794
1241.000000 77.924
1250.000000 77.979
1265.000000 78.071
1280.000000 78.165
1315.000000 78.380
1320.000000 78.409
1340.000000 78.516
1360.000000 78.614
1380.000000 78.709
1400.000000 78.805
1430.000000 78.950
1450.000000 79.047
1475.000000 79.170
1500.000000 79.291
1525.000000 79.411
1550.000000 79.529
1575.000000 79.644
1600.000000 79.757
1625.000000 79.867
1650.000000 79.974
1675.000000 80.079
1700.000000 80.181
1725.000000 80.281
1750.000000 80.380
1775.000000 80.476
1800.000000 80.572
1825.000000 80.667
1850.000000 80.761
1875.000000 80.855
1900.000000 80.950
1925.000000 81.045
1950.000000 81.140
1975.000000 81.236
2000.000000 81.330
2030.000000 81.438
2060.000000 81.537
2090.000000 81.631
2120.000000 81.732
2140.000000 81.805
2180.000000 81.952
2200.000000 82.022
2240.000000 82.153
2270.000000 82.248
2300.000000 82.344
2330.000000 82.437
2360.000000 82.530
2400.000000 82.655
2430.000000 82.743
2470.000000 82.853
2500.000000 82.932
2540.000000 83.030
2580.000000 83.120
2620.000000 83.202
2650.000000 83.264
2690.000000 83.342
2720.000000 83.397
2760.000000 83.468
2800.000000 83.531
2850.000000 83.590
2900.000000 83.626
2950.000000 83.648
3000.000000 83.655
3040.000000 83.649
3070.000000 83.635
3110.000000 83.605
3150.000000 83.568
3200.000000 83.521
3250.000000 83.467
3300.000000 83.397
3350.000000 83.313
3400.000000 83.221
3450.000000 83.125
3500.000000 83.026
3550.000000 82.925
3600.000000 82.822
3650.000000 82.715
3700.000000 82.603
3750.000000 82.487
3820.000000 82.324
3870.000000 82.206
3950.000000 82.011
4000.000000 81.895
4060.000000 81.761
4120.000000 81.625
4180.000000 81.483
4250.000000 81.316
4310.000000 81.181
4370.000000 81.058
4440.000000 80.925
4500.000000 80.808
4550.000000 80.707
4620.000000 80.561
4680.000000 80.437
4750.000000 80.294
4820.000000 80.155
4870.000000 80.058
4940.000000 79.925
5000.000000 79.813
5080.000000 79.668
5150.000000 79.545
5220.000000 79.424
5300.000000 79.290
5380.000000 79.158
5450.000000 79.046
5520.000000 78.936
5600.000000 78.814
5700.000000 78.664
5800.000000 78.518
5900.000000 78.373
6000.000000 78.224
6080.000000 78.098
6150.000000 77.984
6220.000000 77.873
6300.000000 77.755
6400.000000 77.621
6500.000000 77.496
6600.000000 77.374
6700.000000 77.256
6800.000000 77.141
6900.000000 77.027
7000.000000 76.913
7100.000000 76.798
7200.000000 76.675
7300.000000 76.546
7400.000000 76.420
7500.000000 76.303
7620.000000 76.177
7750.000000 76.049
7880.000000 75.926
8000.000000 75.814
8120.000000 75.703
8250.000000 75.578
8380.000000 75.443
8500.000000 75.316
8620.000000 75.197
8750.000000 75.081
8850.000000 74.996
9000.000000 74.868
9120.000000 74.759
9250.000000 74.636
9380.000000 74.519
9500.000000 74.416
9620.000000 74.313
9750.000000 74.198
9880.000000 74.084
10000.000000 73.981
10150.000000 73.852
10300.000000 73.726
10440.000000 73.612
10600.000000 73.480
10750.000000 73.354
10900.000000 73.230
11060.000000 73.104
11200.000000 73.000
11380.000000 72.867
11500.000000 72.777
11720.000000 72.609
11800.000000 72.548
12060.000000 72.354
12200.000000 72.252
12410.000000 72.103
12500.000000 72.039
12650.000000 71.936
12800.000000 71.834
13150.000000 71.604
13200.000000 71.571
13400.000000 71.444
13600.000000 71.320
13800.000000 71.197
14000.000000 71.076
