* Measurement data measured by REW V5.20.5
* Source: Rohsa 1.1A Target Filtered
* Format: 
* Dated: 2022/05/26 20:16:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -3.6 dB
* Note: 
* Measurement: Rohsa 1.1E Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 19.500 Hz
*
* Freq(Hz) SPL(dB)
19.500000 82.045
19.750000 82.045
20.000000 82.044
20.299999 82.044
20.600000 82.043
20.900000 82.042
21.200001 82.041
21.400000 82.040
21.799999 82.038
22.000000 82.037
22.400000 82.034
22.700001 82.031
23.000000 82.028
23.299999 82.024
23.600000 82.020
24.000000 82.013
24.299999 82.007
24.700001 81.999
25.000000 81.992
25.400000 81.981
25.799999 81.969
26.200001 81.956
26.500000 81.945
26.900000 81.930
27.200001 81.918
27.600000 81.901
28.000000 81.883
28.500000 81.859
29.000000 81.834
29.500000 81.808
30.000000 81.781
30.400000 81.759
30.700001 81.742
31.100000 81.719
31.500000 81.695
32.000000 81.665
32.500000 81.635
33.000000 81.604
33.500000 81.572
34.000000 81.541
34.500000 81.508
35.000000 81.476
35.500000 81.443
36.000000 81.409
36.500000 81.375
37.000000 81.341
37.500000 81.306
38.200001 81.256
38.700001 81.220
39.500000 81.162
40.000000 81.125
40.599998 81.080
41.200001 81.034
41.799999 80.988
42.500000 80.933
43.099998 80.886
43.700001 80.838
44.400002 80.781
45.000000 80.731
45.500000 80.690
46.200001 80.631
46.799999 80.580
47.500000 80.520
48.200001 80.459
48.700001 80.415
49.400002 80.353
50.000000 80.300
50.799999 80.228
51.500000 80.165
52.200001 80.101
53.000000 80.028
53.799999 79.955
54.500000 79.890
55.200001 79.826
56.000000 79.752
57.000000 79.659
58.000000 79.566
59.000000 79.473
60.000000 79.380
60.799999 79.307
61.500000 79.242
62.200001 79.178
63.000000 79.105
64.000000 79.014
65.000000 78.924
66.000000 78.835
67.000000 78.746
68.000000 78.659
69.000000 78.573
70.000000 78.487
71.000000 78.403
72.000000 78.320
73.000000 78.239
74.000000 78.158
75.000000 78.079
76.199997 77.986
77.500000 77.888
78.800003 77.791
80.000000 77.705
81.199997 77.620
82.500000 77.531
83.800003 77.444
85.000000 77.366
86.199997 77.290
87.500000 77.210
88.500000 77.150
90.000000 77.062
91.199997 76.995
92.500000 76.923
93.800003 76.854
95.000000 76.792
96.199997 76.732
97.500000 76.669
98.800003 76.608
100.000000 76.553
101.500000 76.487
103.000000 76.423
104.400002 76.366
106.000000 76.303
107.500000 76.246
109.000000 76.191
110.599998 76.135
112.000000 76.087
113.800003 76.029
115.000000 75.991
117.199997 75.925
118.000000 75.902
120.599998 75.830
122.000000 75.793
124.099998 75.740
125.000000 75.718
126.500000 75.683
128.000000 75.649
131.500000 75.574
132.000000 75.564
134.000000 75.525
136.000000 75.488
138.000000 75.453
140.000000 75.420
143.000000 75.373
145.000000 75.344
147.500000 75.310
150.000000 75.279
152.500000 75.250
155.000000 75.222
157.500000 75.197
160.000000 75.174
162.500000 75.153
165.000000 75.134
167.500000 75.116
170.000000 75.099
172.500000 75.084
175.000000 75.071
177.500000 75.058
180.000000 75.047
182.500000 75.037
185.000000 75.028
187.500000 75.020
190.000000 75.012
192.500000 75.006
195.000000 75.000
197.500000 74.995
200.000000 74.990
203.000000 74.985
206.000000 74.981
209.000000 74.977
212.000000 74.974
214.000000 74.972
218.000000 74.969
220.000000 74.968
224.000000 74.966
227.000000 74.964
230.000000 74.963
233.000000 74.962
236.000000 74.962
240.000000 74.961
243.000000 74.961
247.000000 74.961
250.000000 74.961
254.000000 74.961
258.000000 74.961
262.000000 74.961
265.000000 74.962
269.000000 74.962
272.000000 74.963
276.000000 74.963
280.000000 74.964
285.000000 74.964
290.000000 74.965
295.000000 74.966
300.000000 74.967
304.000000 74.968
307.000000 74.968
311.000000 74.969
315.000000 74.969
320.000000 74.970
325.000000 74.971
330.000000 74.972
335.000000 74.973
340.000000 74.974
345.000000 74.974
350.000000 74.975
355.000000 74.976
360.000000 74.977
365.000000 74.977
370.000000 74.978
375.000000 74.979
382.000000 74.980
387.000000 74.981
395.000000 74.982
400.000000 74.982
406.000000 74.983
412.000000 74.984
418.000000 74.985
425.000000 74.986
431.000000 74.986
437.000000 74.987
444.000000 74.988
450.000000 74.989
455.000000 74.989
462.000000 74.990
468.000000 74.990
475.000000 74.991
482.000000 74.992
487.000000 74.992
494.000000 74.993
500.000000 74.993
508.000000 74.994
515.000000 74.994
522.000000 74.994
530.000000 74.995
538.000000 74.995
545.000000 74.995
552.000000 74.996
560.000000 74.996
570.000000 74.997
580.000000 74.998
590.000000 74.999
600.000000 75.000
608.000000 75.002
615.000000 75.004
622.000000 75.006
630.000000 75.010
640.000000 75.015
650.000000 75.022
660.000000 75.030
670.000000 75.040
680.000000 75.052
690.000000 75.066
700.000000 75.082
710.000000 75.100
720.000000 75.120
730.000000 75.141
740.000000 75.165
750.000000 75.190
762.000000 75.221
775.000000 75.258
788.000000 75.296
800.000000 75.333
812.000000 75.372
825.000000 75.420
838.000000 75.479
850.000000 75.542
862.000000 75.604
875.000000 75.665
885.000000 75.713
900.000000 75.792
912.000000 75.861
925.000000 75.937
938.000000 76.013
950.000000 76.083
962.000000 76.153
975.000000 76.225
988.000000 76.293
1000.000000 76.359
1015.000000 76.452
1030.000000 76.555
1044.000000 76.655
1060.000000 76.764
1075.000000 76.862
1090.000000 76.960
1106.000000 77.064
1120.000000 77.153
1138.000000 77.265
1150.000000 77.339
1172.000000 77.478
1180.000000 77.530
1206.000000 77.703
1220.000000 77.792
1241.000000 77.921
1250.000000 77.977
1265.000000 78.069
1280.000000 78.163
1315.000000 78.378
1320.000000 78.407
1340.000000 78.514
1360.000000 78.613
1380.000000 78.708
1400.000000 78.803
1430.000000 78.948
1450.000000 79.046
1475.000000 79.168
1500.000000 79.290
1525.000000 79.410
1550.000000 79.528
1575.000000 79.643
1600.000000 79.756
1625.000000 79.866
1650.000000 79.973
1675.000000 80.078
1700.000000 80.180
1725.000000 80.280
1750.000000 80.378
1775.000000 80.475
1800.000000 80.571
1825.000000 80.666
1850.000000 80.760
1875.000000 80.854
1900.000000 80.949
1925.000000 81.044
1950.000000 81.139
1975.000000 81.235
2000.000000 81.329
2030.000000 81.437
2060.000000 81.536
2090.000000 81.631
2120.000000 81.732
2140.000000 81.804
2180.000000 81.952
2200.000000 82.022
2240.000000 82.152
2270.000000 82.247
2300.000000 82.343
2330.000000 82.437
2360.000000 82.530
2400.000000 82.654
2430.000000 82.743
