* Measurement data measured by REW V5.20.5
* Source: IEF Neutral Target IEM Filtered
* Format: 
* Dated: 2022/03/22 18:29:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -19.1 dB
* Note: 
* Measurement: Rohsa A Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
20.000000 73.708
20.299999 73.708
20.600000 73.708
20.900000 73.708
21.200001 73.708
21.400000 73.708
21.799999 73.708
22.000000 73.708
22.400000 73.708
22.700001 73.708
23.000000 73.708
23.299999 73.708
23.600000 73.708
24.000000 73.708
24.299999 73.708
24.700001 73.708
25.000000 73.708
25.400000 73.708
25.799999 73.708
26.200001 73.708
26.500000 73.708
26.900000 73.708
27.200001 73.708
27.600000 73.708
28.000000 73.708
28.500000 73.708
29.000000 73.708
29.500000 73.708
30.000000 73.708
30.400000 73.708
30.700001 73.708
31.100000 73.708
31.500000 73.708
32.000000 73.708
32.500000 73.708
33.000000 73.708
33.500000 73.708
34.000000 73.708
34.500000 73.708
35.000000 73.708
35.500000 73.708
36.000000 73.708
36.500000 73.708
37.000000 73.708
37.500000 73.708
38.200001 73.708
38.700001 73.708
39.500000 73.708
40.000000 73.708
40.599998 73.708
41.200001 73.708
41.799999 73.708
42.500000 73.708
43.099998 73.708
43.700001 73.708
44.400002 73.708
45.000000 73.708
45.500000 73.708
46.200001 73.708
46.799999 73.708
47.500000 73.708
48.200001 73.708
48.700001 73.708
49.400002 73.708
50.000000 73.708
50.799999 73.708
51.500000 73.708
52.200001 73.708
53.000000 73.708
53.799999 73.708
54.500000 73.708
55.200001 73.708
56.000000 73.708
57.000000 73.708
58.000000 73.708
59.000000 73.708
60.000000 73.708
60.799999 73.708
61.500000 73.708
62.200001 73.708
63.000000 73.708
64.000000 73.708
65.000000 73.708
66.000000 73.708
67.000000 73.708
68.000000 73.708
69.000000 73.708
70.000000 73.708
71.000000 73.708
72.000000 73.708
73.000000 73.708
74.000000 73.708
75.000000 73.708
76.199997 73.708
77.500000 73.708
78.800003 73.708
80.000000 73.708
81.199997 73.708
82.500000 73.708
83.800003 73.708
85.000000 73.708
86.199997 73.708
87.500000 73.708
88.500000 73.708
90.000000 73.708
91.199997 73.708
92.500000 73.708
93.800003 73.708
95.000000 73.708
96.199997 73.708
97.500000 73.708
98.800003 73.708
100.000000 73.708
101.500000 73.708
103.000000 73.708
104.400002 73.708
106.000000 73.708
107.500000 73.708
109.000000 73.709
110.599998 73.709
112.000000 73.709
113.800003 73.709
115.000000 73.709
117.199997 73.709
118.000000 73.709
120.599998 73.709
122.000000 73.709
124.099998 73.709
125.000000 73.709
126.500000 73.709
128.000000 73.709
131.500000 73.709
132.000000 73.709
134.000000 73.709
136.000000 73.709
138.000000 73.709
140.000000 73.709
143.000000 73.709
145.000000 73.709
147.500000 73.709
150.000000 73.709
152.500000 73.710
155.000000 73.710
157.500000 73.710
160.000000 73.710
162.500000 73.710
165.000000 73.710
167.500000 73.710
170.000000 73.710
172.500000 73.710
175.000000 73.710
177.500000 73.710
180.000000 73.710
182.500000 73.711
185.000000 73.711
187.500000 73.711
190.000000 73.711
192.500000 73.711
195.000000 73.711
197.500000 73.711
200.000000 73.711
203.000000 73.712
206.000000 73.712
209.000000 73.712
212.000000 73.712
214.000000 73.712
218.000000 73.712
220.000000 73.712
224.000000 73.713
227.000000 73.713
230.000000 73.713
233.000000 73.713
236.000000 73.714
240.000000 73.714
243.000000 73.714
247.000000 73.714
250.000000 73.715
254.000000 73.715
258.000000 73.715
262.000000 73.716
265.000000 73.716
269.000000 73.716
272.000000 73.717
276.000000 73.717
280.000000 73.717
285.000000 73.718
290.000000 73.718
295.000000 73.719
300.000000 73.720
304.000000 73.720
307.000000 73.720
311.000000 73.721
315.000000 73.722
320.000000 73.722
325.000000 73.723
330.000000 73.724
335.000000 73.725
340.000000 73.725
345.000000 73.726
350.000000 73.727
355.000000 73.728
360.000000 73.729
365.000000 73.730
370.000000 73.731
375.000000 73.732
382.000000 73.734
387.000000 73.735
395.000000 73.737
400.000000 73.738
406.000000 73.740
412.000000 73.741
418.000000 73.743
425.000000 73.745
431.000000 73.747
437.000000 73.749
444.000000 73.751
450.000000 73.753
455.000000 73.755
462.000000 73.758
468.000000 73.760
475.000000 73.763
482.000000 73.766
487.000000 73.769
494.000000 73.772
500.000000 73.775
508.000000 73.779
515.000000 73.782
522.000000 73.786
530.000000 73.791
538.000000 73.796
545.000000 73.800
552.000000 73.805
560.000000 73.810
570.000000 73.817
580.000000 73.825
590.000000 73.833
600.000000 73.841
608.000000 73.849
615.000000 73.855
622.000000 73.862
630.000000 73.870
640.000000 73.880
650.000000 73.891
660.000000 73.903
670.000000 73.915
680.000000 73.928
690.000000 73.942
700.000000 73.956
710.000000 73.971
720.000000 73.986
730.000000 74.002
740.000000 74.019
750.000000 74.037
762.000000 74.059
775.000000 74.084
788.000000 74.110
800.000000 74.135
812.000000 74.163
825.000000 74.198
838.000000 74.245
850.000000 74.297
862.000000 74.348
875.000000 74.397
885.000000 74.436
900.000000 74.503
912.000000 74.562
925.000000 74.628
938.000000 74.693
950.000000 74.755
962.000000 74.817
975.000000 74.880
988.000000 74.940
1000.000000 75.000
1015.000000 75.085
1030.000000 75.181
1044.000000 75.275
1060.000000 75.378
1075.000000 75.472
1090.000000 75.567
1106.000000 75.668
1120.000000 75.756
1138.000000 75.868
1150.000000 75.943
1172.000000 76.084
1180.000000 76.137
1206.000000 76.316
1220.000000 76.410
1241.000000 76.547
1250.000000 76.606
1265.000000 76.705
1280.000000 76.805
1315.000000 77.036
1320.000000 77.068
1340.000000 77.186
1360.000000 77.294
1380.000000 77.400
1400.000000 77.506
1430.000000 77.668
1450.000000 77.777
1475.000000 77.914
1500.000000 78.051
1525.000000 78.186
1550.000000 78.320
1575.000000 78.452
1600.000000 78.581
1625.000000 78.708
1650.000000 78.832
1675.000000 78.955
1700.000000 79.075
1725.000000 79.192
1750.000000 79.308
1775.000000 79.422
1800.000000 79.535
1825.000000 79.646
1850.000000 79.756
1875.000000 79.865
1900.000000 79.973
1925.000000 80.080
1950.000000 80.186
1975.000000 80.292
2000.000000 80.394
2030.000000 80.511
2060.000000 80.617
2090.000000 80.717
2120.000000 80.823
2140.000000 80.898
2180.000000 81.050
2200.000000 81.122
2240.000000 81.256
2270.000000 81.355
2300.000000 81.455
2330.000000 81.553
2360.000000 81.651
2400.000000 81.784
2430.000000 81.880
2470.000000 82.000
2500.000000 82.087
2540.000000 82.198
2580.000000 82.302
2620.000000 82.398
2650.000000 82.469
2690.000000 82.562
2720.000000 82.626
2760.000000 82.708
2800.000000 82.781
2850.000000 82.849
2900.000000 82.890
2950.000000 82.911
3000.000000 82.914
3040.000000 82.901
3070.000000 82.879
3110.000000 82.837
3150.000000 82.785
3200.000000 82.717
3250.000000 82.639
3300.000000 82.542
3350.000000 82.430
3400.000000 82.310
3450.000000 82.186
3500.000000 82.059
3550.000000 81.931
3600.000000 81.802
3650.000000 81.670
3700.000000 81.534
3750.000000 81.394
3820.000000 81.201
3870.000000 81.062
3950.000000 80.837
4000.000000 80.702
4060.000000 80.548
4120.000000 80.394
4180.000000 80.233
4250.000000 80.046
4310.000000 79.895
4370.000000 79.757
4440.000000 79.607
4500.000000 79.477
4550.000000 79.364
4620.000000 79.203
4680.000000 79.067
4750.000000 78.910
4820.000000 78.757
4870.000000 78.650
4940.000000 78.504
5000.000000 78.382
5080.000000 78.223
5150.000000 78.087
5220.000000 77.955
5300.000000 77.807
5380.000000 77.662
5450.000000 77.539
5520.000000 77.418
5600.000000 77.283
5700.000000 77.118
5800.000000 76.957
5900.000000 76.797
6000.000000 76.635
6080.000000 76.497
6150.000000 76.374
6220.000000 76.253
6300.000000 76.125
6400.000000 75.978
6500.000000 75.840
6600.000000 75.706
6700.000000 75.576
6800.000000 75.449
6900.000000 75.324
7000.000000 75.200
7100.000000 75.073
7200.000000 74.941
7300.000000 74.802
7400.000000 74.666
7500.000000 74.540
7620.000000 74.403
7750.000000 74.264
7880.000000 74.131
8000.000000 74.010
8120.000000 73.890
8250.000000 73.755
8380.000000 73.612
8500.000000 73.478
8620.000000 73.352
8750.000000 73.228
8850.000000 73.138
9000.000000 73.003
9120.000000 72.888
9250.000000 72.759
9380.000000 72.636
9500.000000 72.529
9620.000000 72.422
9750.000000 72.303
9880.000000 72.184
10000.000000 72.077
10150.000000 71.945
10300.000000 71.815
10440.000000 71.698
10600.000000 71.563
10750.000000 71.434
10900.000000 71.307
11060.000000 71.179
11200.000000 71.074
11380.000000 70.939
11500.000000 70.848
11720.000000 70.678
11800.000000 70.617
12060.000000 70.422
12200.000000 70.320
12410.000000 70.170
12500.000000 70.107
12650.000000 70.004
12800.000000 69.903
13150.000000 69.674
13200.000000 69.642
13400.000000 69.516
13600.000000 69.393
13800.000000 69.272
14000.000000 69.153
14300.000000 68.972
14500.000000 68.848
14750.000000 68.697
15000.000000 68.556
15250.000000 68.420
15500.000000 68.281
15750.000000 68.141
16000.000000 68.005
16250.000000 67.870
16500.000000 67.739
16750.000000 67.613
17000.000000 67.487
17250.000000 67.366
17500.000000 67.248
17750.000000 67.132
18000.000000 67.019
18250.000000 66.909
18500.000000 66.796
18750.000000 66.683
19000.000000 66.577
19250.000000 66.485
19500.000000 66.407
19750.000000 66.348
20000.000000 66.314
