* Measurement data measured by REW V5.20.5
* Source: Rohsa 1.1A Target Filtered
* Format: 
* Dated: 2022/05/26 18:05:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -19.1 dB
* Note: 
* Measurement: Rohsa 1.1B Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 19.500 Hz
*
* Freq(Hz) SPL(dB)
19.500000 81.870
19.750000 81.868
20.000000 81.858
20.299999 81.843
20.600000 81.827
20.900000 81.809
21.200001 81.792
21.400000 81.781
21.799999 81.757
22.000000 81.746
22.400000 81.722
22.700001 81.704
23.000000 81.686
23.299999 81.668
23.600000 81.650
24.000000 81.625
24.299999 81.607
24.700001 81.582
25.000000 81.563
25.400000 81.538
25.799999 81.513
26.200001 81.487
26.500000 81.468
26.900000 81.443
27.200001 81.423
27.600000 81.398
28.000000 81.372
28.500000 81.339
29.000000 81.306
29.500000 81.274
30.000000 81.241
30.400000 81.214
30.700001 81.194
31.100000 81.168
31.500000 81.141
32.000000 81.108
32.500000 81.075
33.000000 81.042
33.500000 81.008
34.000000 80.975
34.500000 80.941
35.000000 80.908
35.500000 80.875
36.000000 80.841
36.500000 80.808
37.000000 80.775
37.500000 80.742
38.200001 80.696
38.700001 80.663
39.500000 80.610
40.000000 80.578
40.599998 80.539
41.200001 80.500
41.799999 80.461
42.500000 80.416
43.099998 80.378
43.700001 80.340
44.400002 80.296
45.000000 80.259
45.500000 80.228
46.200001 80.185
46.799999 80.148
47.500000 80.106
48.200001 80.064
48.700001 80.034
49.400002 79.993
50.000000 79.958
50.799999 79.911
51.500000 79.872
52.200001 79.832
53.000000 79.787
53.799999 79.743
54.500000 79.705
55.200001 79.668
56.000000 79.626
57.000000 79.573
58.000000 79.522
59.000000 79.472
60.000000 79.423
60.799999 79.384
61.500000 79.351
62.200001 79.318
63.000000 79.280
64.000000 79.235
65.000000 79.190
66.000000 79.146
67.000000 79.103
68.000000 79.061
69.000000 79.019
70.000000 78.979
71.000000 78.939
72.000000 78.900
73.000000 78.861
74.000000 78.824
75.000000 78.787
76.199997 78.743
77.500000 78.697
78.800003 78.652
80.000000 78.611
81.199997 78.570
82.500000 78.528
83.800003 78.486
85.000000 78.448
86.199997 78.411
87.500000 78.371
88.500000 78.341
90.000000 78.297
91.199997 78.262
92.500000 78.225
93.800003 78.188
95.000000 78.155
96.199997 78.122
97.500000 78.087
98.800003 78.053
100.000000 78.021
101.500000 77.983
103.000000 77.945
104.400002 77.910
106.000000 77.871
107.500000 77.835
109.000000 77.799
110.599998 77.762
112.000000 77.730
113.800003 77.690
115.000000 77.664
117.199997 77.617
118.000000 77.600
120.599998 77.547
122.000000 77.519
124.099998 77.478
125.000000 77.461
126.500000 77.432
128.000000 77.405
131.500000 77.343
132.000000 77.334
134.000000 77.301
136.000000 77.268
138.000000 77.236
140.000000 77.205
143.000000 77.159
145.000000 77.130
147.500000 77.094
150.000000 77.059
152.500000 77.025
155.000000 76.991
157.500000 76.958
160.000000 76.924
162.500000 76.892
165.000000 76.859
167.500000 76.826
170.000000 76.793
172.500000 76.761
175.000000 76.728
177.500000 76.695
180.000000 76.662
182.500000 76.629
185.000000 76.596
187.500000 76.562
190.000000 76.529
192.500000 76.496
195.000000 76.464
197.500000 76.431
200.000000 76.398
203.000000 76.360
206.000000 76.322
209.000000 76.284
212.000000 76.248
