* Measurement data measured by REW V5.20.5
* Source: Rohsa A Target Filtered
* Format: 
* Dated: 2022/03/22 18:27:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -19.1 dB
* Note: 
* Measurement: Rohsa D Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
20.000000 80.836
20.299999 80.836
20.600000 80.836
20.900000 80.836
21.200001 80.835
21.400000 80.835
21.799999 80.835
22.000000 80.835
22.400000 80.834
22.700001 80.834
23.000000 80.833
23.299999 80.833
23.600000 80.833
24.000000 80.832
24.299999 80.832
24.700001 80.831
25.000000 80.831
25.400000 80.830
25.799999 80.830
26.200001 80.829
26.500000 80.828
26.900000 80.828
27.200001 80.827
27.600000 80.826
28.000000 80.825
28.500000 80.824
29.000000 80.823
29.500000 80.822
30.000000 80.821
30.400000 80.819
30.700001 80.819
31.100000 80.817
31.500000 80.816
32.000000 80.815
32.500000 80.813
33.000000 80.811
33.500000 80.810
34.000000 80.808
34.500000 80.806
35.000000 80.804
35.500000 80.801
36.000000 80.799
36.500000 80.797
37.000000 80.794
37.500000 80.792
38.200001 80.788
38.700001 80.785
39.500000 80.780
40.000000 80.777
40.599998 80.773
41.200001 80.769
41.799999 80.765
42.500000 80.760
43.099998 80.755
43.700001 80.750
44.400002 80.744
45.000000 80.739
45.500000 80.734
46.200001 80.728
46.799999 80.722
47.500000 80.714
48.200001 80.707
48.700001 80.701
49.400002 80.693
50.000000 80.686
50.799999 80.676
51.500000 80.666
52.200001 80.657
53.000000 80.646
53.799999 80.634
54.500000 80.623
55.200001 80.612
56.000000 80.598
57.000000 80.581
58.000000 80.563
59.000000 80.544
60.000000 80.524
60.799999 80.508
61.500000 80.493
62.200001 80.478
63.000000 80.460
64.000000 80.437
65.000000 80.413
66.000000 80.389
67.000000 80.363
68.000000 80.337
69.000000 80.310
70.000000 80.283
71.000000 80.255
72.000000 80.226
73.000000 80.197
74.000000 80.167
75.000000 80.137
76.199997 80.101
77.500000 80.061
78.800003 80.020
80.000000 79.983
81.199997 79.945
82.500000 79.904
83.800003 79.863
85.000000 79.825
86.199997 79.788
87.500000 79.747
88.500000 79.716
90.000000 79.670
91.199997 79.633
92.500000 79.593
93.800003 79.553
95.000000 79.516
96.199997 79.480
97.500000 79.440
98.800003 79.401
100.000000 79.364
101.500000 79.318
103.000000 79.272
104.400002 79.229
106.000000 79.180
107.500000 79.133
109.000000 79.086
110.599998 79.035
112.000000 78.990
113.800003 78.933
115.000000 78.894
117.199997 78.822
118.000000 78.796
120.599998 78.710
122.000000 78.664
124.099998 78.594
125.000000 78.564
126.500000 78.514
128.000000 78.464
131.500000 78.347
132.000000 78.330
134.000000 78.263
136.000000 78.197
138.000000 78.130
140.000000 78.064
143.000000 77.964
145.000000 77.898
147.500000 77.816
150.000000 77.734
152.500000 77.652
155.000000 77.571
157.500000 77.490
160.000000 77.408
162.500000 77.328
165.000000 77.247
167.500000 77.166
170.000000 77.086
172.500000 77.005
175.000000 76.925
177.500000 76.845
180.000000 76.766
182.500000 76.686
185.000000 76.607
187.500000 76.529
190.000000 76.451
192.500000 76.373
195.000000 76.297
197.500000 76.220
200.000000 76.145
203.000000 76.056
206.000000 75.968
209.000000 75.882
212.000000 75.798
214.000000 75.742
218.000000 75.634
220.000000 75.581
224.000000 75.478
227.000000 75.402
230.000000 75.329
233.000000 75.259
236.000000 75.190
240.000000 75.102
243.000000 75.038
247.000000 74.956
250.000000 74.898
254.000000 74.823
258.000000 74.751
262.000000 74.684
265.000000 74.636
269.000000 74.575
272.000000 74.531
276.000000 74.476
280.000000 74.424
285.000000 74.363
290.000000 74.307
295.000000 74.256
300.000000 74.209
304.000000 74.174
307.000000 74.150
311.000000 74.119
315.000000 74.091
320.000000 74.058
325.000000 74.028
330.000000 74.002
335.000000 73.977
340.000000 73.955
345.000000 73.936
350.000000 73.918
355.000000 73.902
360.000000 73.888
365.000000 73.875
370.000000 73.864
375.000000 73.854
382.000000 73.841
387.000000 73.834
395.000000 73.823
400.000000 73.818
406.000000 73.812
412.000000 73.806
418.000000 73.802
425.000000 73.797
431.000000 73.794
437.000000 73.791
444.000000 73.788
450.000000 73.785
455.000000 73.784
462.000000 73.781
468.000000 73.779
475.000000 73.777
482.000000 73.776
487.000000 73.774
494.000000 73.772
500.000000 73.771
508.000000 73.769
515.000000 73.767
522.000000 73.765
530.000000 73.763
538.000000 73.761
545.000000 73.759
552.000000 73.757
560.000000 73.754
570.000000 73.752
580.000000 73.749
590.000000 73.747
600.000000 73.745
608.000000 73.744
615.000000 73.744
622.000000 73.744
630.000000 73.745
640.000000 73.747
650.000000 73.750
660.000000 73.755
670.000000 73.762
680.000000 73.771
690.000000 73.782
700.000000 73.795
710.000000 73.811
720.000000 73.828
730.000000 73.847
740.000000 73.868
750.000000 73.891
762.000000 73.920
775.000000 73.953
788.000000 73.988
800.000000 74.023
812.000000 74.059
825.000000 74.105
838.000000 74.162
850.000000 74.223
862.000000 74.283
875.000000 74.341
885.000000 74.386
900.000000 74.463
912.000000 74.529
925.000000 74.602
938.000000 74.674
950.000000 74.741
962.000000 74.807
975.000000 74.874
988.000000 74.938
1000.000000 75.000
1015.000000 75.087
1030.000000 75.185
1044.000000 75.279
1060.000000 75.382
1075.000000 75.475
1090.000000 75.569
1106.000000 75.668
1120.000000 75.755
1138.000000 75.864
1150.000000 75.936
1172.000000 76.074
1180.000000 76.126
1206.000000 76.301
1220.000000 76.392
1241.000000 76.526
1250.000000 76.584
1265.000000 76.681
1280.000000 76.779
1315.000000 77.006
1320.000000 77.037
1340.000000 77.153
1360.000000 77.260
1380.000000 77.364
1400.000000 77.468
1430.000000 77.628
1450.000000 77.735
1475.000000 77.871
1500.000000 78.006
1525.000000 78.140
1550.000000 78.273
1575.000000 78.403
1600.000000 78.531
1625.000000 78.657
1650.000000 78.781
1675.000000 78.903
1700.000000 79.022
1725.000000 79.139
1750.000000 79.254
1775.000000 79.368
1800.000000 79.480
1825.000000 79.590
1850.000000 79.699
1875.000000 79.808
1900.000000 79.915
1925.000000 80.022
1950.000000 80.128
1975.000000 80.233
2000.000000 80.336
2030.000000 80.452
2060.000000 80.558
2090.000000 80.658
2120.000000 80.763
2140.000000 80.837
2180.000000 80.989
2200.000000 81.061
2240.000000 81.195
2270.000000 81.294
2300.000000 81.393
2330.000000 81.491
2360.000000 81.589
2400.000000 81.722
2430.000000 81.817
2470.000000 81.938
2500.000000 82.024
2540.000000 82.136
2580.000000 82.238
2620.000000 82.335
2650.000000 82.406
2690.000000 82.498
2720.000000 82.563
2760.000000 82.644
2800.000000 82.717
2850.000000 82.785
2900.000000 82.826
2950.000000 82.847
3000.000000 82.850
3040.000000 82.836
3070.000000 82.815
3110.000000 82.772
3150.000000 82.720
3200.000000 82.652
3250.000000 82.573
3300.000000 82.477
3350.000000 82.365
3400.000000 82.245
3450.000000 82.121
3500.000000 81.994
3550.000000 81.866
3600.000000 81.736
3650.000000 81.604
3700.000000 81.468
3750.000000 81.328
3820.000000 81.135
3870.000000 80.996
3950.000000 80.771
4000.000000 80.636
4060.000000 80.482
4120.000000 80.327
4180.000000 80.167
4250.000000 79.980
4310.000000 79.829
4370.000000 79.690
4440.000000 79.540
4500.000000 79.410
4550.000000 79.297
4620.000000 79.137
4680.000000 79.000
4750.000000 78.843
4820.000000 78.690
4870.000000 78.584
4940.000000 78.437
5000.000000 78.315
5080.000000 78.156
5150.000000 78.020
5220.000000 77.888
5300.000000 77.740
5380.000000 77.595
