* Measurement data measured by REW V5.20.9
* Source:
* Format:
* Dated: 2022/08/25 23:21:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: SSP L 7K
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 9.928 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.928058 69.380 -29.0887
10.000000 69.394 -29.2823
10.072464 69.408 -29.5322
10.145453 69.421 -29.8424
10.218971 69.435 -30.2171
10.293022 69.454 -30.6697
10.367610 69.482 -31.2344
10.442738 69.512 -31.8730
10.518411 69.546 -32.5363
10.594631 69.581 -33.1726
10.671404 69.616 -33.7450
10.748734 69.651 -34.2855
10.826623 69.689 -34.8130
10.905077 69.729 -35.3441
10.984100 69.773 -35.8961
11.063695 69.822 -36.4702
11.143867 69.875 -37.0554
11.224621 69.931 -37.6544
11.305959 69.987 -38.2697
11.387886 70.040 -38.9054
11.470407 70.093 -39.5679
11.553527 70.146 -40.2485
11.637249 70.198 -40.9357
11.721577 70.248 -41.6172
11.806517 70.297 -42.2936
11.892071 70.344 -42.9711
11.978246 70.390 -43.6471
12.065045 70.437 -44.3194
12.152473 70.486 -44.9873
12.240536 70.535 -45.6532
12.329235 70.584 -46.3141
12.418578 70.633 -46.9667
12.508568 70.681 -47.6089
12.599211 70.728 -48.2427
12.690510 70.775 -48.8671
12.782471 70.822 -49.4810
12.875097 70.869 -50.0831
12.968395 70.916 -50.6733
13.062370 70.963 -51.2524
13.157025 71.012 -51.8212
13.252366 71.063 -52.3796
13.348398 71.117 -52.9259
13.445127 71.172 -53.4622
13.542556 71.228 -53.9910
13.640691 71.286 -54.5118
13.739536 71.345 -55.0231
13.839099 71.404 -55.5279
13.939383 71.463 -56.0290
14.040393 71.522 -56.5254
14.142136 71.580 -57.0164
14.244616 71.637 -57.5029
14.347837 71.691 -57.9854
14.451808 71.742 -58.4632
14.556532 71.792 -58.9362
14.662014 71.842 -59.4046
14.768262 71.891 -59.8671
14.875278 71.938 -60.3245
14.983070 71.987 -60.7791
15.091644 72.040 -61.2313
15.201005 72.096 -61.6791
15.311157 72.153 -62.1274
15.422109 72.211 -62.5813
15.533863 72.271 -63.0375
15.646428 72.331 -63.4987
15.759809 72.386 -63.9703
15.874010 72.437 -64.4530
15.989040 72.485 -64.9455
16.104904 72.528 -65.4476
16.221605 72.567 -65.9611
16.339155 72.602 -66.4851
16.457554 72.635 -67.0150
16.576813 72.669 -67.5492
16.696936 72.701 -68.0893
16.817928 72.733 -68.6316
16.939798 72.764 -69.1736
17.062551 72.796 -69.7167
17.186193 72.825 -70.2610
17.310732 72.853 -70.8064
17.436172 72.878 -71.3527
17.562521 72.902 -71.9010
17.689787 72.923 -72.4521
17.817974 72.942 -73.0053
17.947090 72.961 -73.5592
18.077143 72.980 -74.1132
18.208138 72.999 -74.6677
18.340080 73.021 -75.2222
18.472980 73.046 -75.7741
18.606844 73.074 -76.3286
18.741676 73.106 -76.8919
18.877487 73.144 -77.4600
19.014280 73.185 -78.0446
19.152065 73.229 -78.6541
19.290850 73.276 -79.2853
19.430639 73.324 -79.9448
19.571442 73.372 -80.6383
19.713264 73.419 -81.3571
19.856115 73.464 -82.0933
20.000000 73.506 -82.8521
20.144928 73.545 -83.6084
20.290907 73.579 -84.3571
20.437943 73.610 -85.0942
20.586044 73.640 -85.7977
20.735220 73.668 -86.4700
20.885475 73.700 -87.1146
21.036821 73.739 -87.7221
21.189262 73.783 -88.3114
21.342808 73.839 -88.9057
21.497467 73.904 -89.4996
21.653246 73.974 -90.1425
21.810154 74.052 -90.8342
21.968201 74.131 -91.5915
22.127390 74.206 -92.4377
22.287735 74.276 -93.3544
22.449242 74.333 -94.3306
22.611917 74.379 -95.3642
22.775772 74.408 -96.3804
22.940815 74.420 -97.3911
23.107054 74.417 -98.3113
23.274498 74.395 -99.1265
23.443153 74.366 -99.8067
23.613033 74.331 -100.3142
23.784142 74.299 -100.6746
23.956491 74.280 -100.8856
24.130091 74.274 -100.9795
24.304947 74.292 -101.0232
24.481071 74.330 -101.0262
24.658470 74.385 -101.0874
24.837156 74.456 -101.2001
25.017136 74.532 -101.4262
25.198421 74.612 -101.7575
25.381020 74.685 -102.1850
25.564941 74.750 -102.7041
25.750195 74.804 -103.2575
25.936790 74.845 -103.8437
26.124741 74.877 -104.4065
26.314051 74.899 -104.9489
26.504732 74.918 -105.4497
26.696796 74.933 -105.9175
26.890253 74.950 -106.3662
27.085112 74.968 -106.8058
27.281382 74.987 -107.2602
27.479073 75.006 -107.7328
27.678198 75.024 -108.2360
27.878765 75.039 -108.7603
28.080786 75.050 -109.3055
28.284271 75.058 -109.8548
28.489231 75.063 -110.4054
28.695675 75.069 -110.9488
28.903616 75.077 -111.4871
29.113064 75.087 -112.0253
29.324028 75.101 -112.5703
29.536524 75.116 -113.1301
29.750557 75.132 -113.7079
29.966141 75.148 -114.3054
30.183289 75.162 -114.9147
30.402010 75.176 -115.5301
30.622314 75.190 -116.1407
30.844217 75.205 -116.7389
31.067726 75.222 -117.3207
31.292856 75.241 -117.8857
31.519617 75.262 -118.4378
31.748020 75.286 -118.9817
31.978081 75.313 -119.5243
32.209808 75.342 -120.0671
32.443211 75.373 -120.6116
32.678310 75.403 -121.1528
32.915108 75.434 -121.6879
33.153625 75.463 -122.2104
33.393871 75.491 -122.7203
33.635857 75.519 -123.2172
33.879597 75.546 -123.7065
34.125103 75.573 -124.1916
34.372387 75.599 -124.6758
34.621464 75.625 -125.1605
34.872345 75.648 -125.6432
35.125042 75.669 -126.1221
35.379574 75.689 -126.5935
35.635948 75.708 -127.0588
35.894180 75.726 -127.5204
36.154285 75.743 -127.9846
36.416275 75.760 -128.4612
36.680161 75.775 -128.9550
36.945961 75.787 -129.4704
37.213688 75.795 -130.0039
37.483353 75.801 -130.5460
37.754974 75.804 -131.0873
38.028561 75.808 -131.6168
38.304131 75.815 -132.1286
38.581699 75.825 -132.6264
38.861279 75.839 -133.1178
39.142883 75.857 -133.6148
39.426529 75.875 -134.1320
39.712231 75.892 -134.6747
40.000000 75.906 -135.2418
40.289856 75.917 -135.8262
40.581814 75.922 -136.4137
40.875885 75.922 -136.9898
41.172089 75.919 -137.5470
41.470440 75.915 -138.0836
41.770950 75.913 -138.6035
42.073643 75.915 -139.1155
42.378525 75.920 -139.6274
42.685616 75.928 -140.1392
42.994934 75.936 -140.6447
43.306492 75.945 -141.1332
43.620308 75.953 -141.5948
43.936401 75.964 -142.0261
44.254780 75.979 -142.4375
44.575470 75.998 -142.8507
44.898483 76.020 -143.2877
45.223835 76.041 -143.7599
45.551544 76.057 -144.2610
45.881630 76.066 -144.7676
46.214108 76.069 -145.2488
46.548996 76.069 -145.6828
46.886307 76.074 -146.0729
47.226067 76.088 -146.4517
47.568283 76.112 -146.8676
47.912983 76.142 -147.3592
48.260181 76.169 -147.9350
48.609894 76.186 -148.5692
48.962143 76.189 -149.2154
49.316940 76.179 -149.8298
49.674313 76.164 -150.3923
50.034271 76.148 -150.9115
50.396843 76.136 -151.4141
50.762039 76.128 -151.9255
51.129883 76.122 -152.4555
51.500389 76.116 -152.9967
51.873581 76.110 -153.5341
52.249481 76.108 -154.0577
52.628101 76.112 -154.5677
53.009464 76.120 -155.0705
53.393593 76.131 -155.5694
53.780506 76.144 -156.0598
54.170223 76.156 -156.5323
54.562763 76.170 -156.9816
54.958145 76.186 -157.4126
55.356396 76.205 -157.8403
55.757530 76.226 -158.2807
56.161572 76.243 -158.7407
56.568542 76.256 -159.2131
56.978462 76.261 -159.6821
57.391350 76.259 -160.1347
57.807232 76.252 -160.5705
58.226128 76.242 -161.0020
58.648056 76.230 -161.4452
59.073048 76.217 -161.9097
59.501114 76.200 -162.3937
59.932281 76.182 -162.8874
60.366577 76.164 -163.3793
60.804020 76.146 -163.8603
61.244629 76.132 -164.3246
61.688435 76.120 -164.7684
62.135452 76.113 -165.1923
62.585712 76.111 -165.6041
63.039234 76.114 -166.0159
63.496040 76.120 -166.4372
63.956161 76.128 -166.8698
64.419617 76.137 -167.3079
64.886421 76.145 -167.7449
65.356621 76.151 -168.1777
65.830215 76.155 -168.6049
66.307251 76.156 -169.0233
66.787743 76.153 -169.4291
67.271713 76.148 -169.8228
67.759193 76.144 -170.2141
68.250206 76.138 -170.6148
68.744774 76.129 -171.0282
69.242928 76.116 -171.4430
69.744690 76.099 -171.8414
70.250084 76.083 -172.2130
70.759148 76.070 -172.5616
71.271896 76.061 -172.8980
71.788361 76.054 -173.2287
72.308571 76.048 -173.5530
72.832550 76.044 -173.8701
73.360321 76.042 -174.1839
73.891922 76.042 -174.4986
74.427376 76.042 -174.8135
74.966705 76.042 -175.1262
75.509949 76.043 -175.4407
76.057121 76.044 -175.7695
76.608261 76.044 -176.1273
77.163399 76.040 -176.5179
77.722557 76.033 -176.9290
78.285767 76.021 -177.3405
78.853058 76.009 -177.7320
79.424461 75.996 -178.0899
80.000000 75.984 -178.4031
80.579712 75.972 -178.6646
81.163628 75.958 -178.8741
81.751770 75.942 -179.0404
82.344177 75.924 -179.1800
82.940880 75.904 -179.3223
83.541901 75.879 -179.4987
84.147285 75.847 -179.7246
84.757050 75.808 179.9932
85.371231 75.771 179.6201
85.989868 75.740 179.0927
86.612984 75.719 178.3481
87.240616 75.705 177.3121
87.872803 75.682 175.9105
88.509560 75.604 174.2709
89.150940 75.439 172.9318
89.796967 75.230 172.5199
90.447670 75.093 173.1330
91.103088 75.110 174.1427
91.763260 75.240 174.8545
92.428215 75.392 175.0981
93.097992 75.511 175.0638
93.772614 75.588 174.9208
94.452133 75.618 174.7468
95.136566 75.603 174.6171
95.825966 75.560 174.5541
96.520363 75.506 174.4899
97.219788 75.446 174.3511
97.924286 75.385 174.1121
98.633881 75.327 173.7664
99.348625 75.269 173.3373
100.068542 75.208 172.9213
100.793686 75.148 172.6414
101.524078 75.102 172.5437
102.259766 75.072 172.5942
103.000778 75.051 172.7634
103.747162 75.035 173.0470
104.498962 75.023 173.4119
105.256203 75.016 173.7894
106.018929 75.011 174.1151
106.787186 75.007 174.3344
107.561012 74.997 174.4089
108.340446 74.975 174.3681
109.125526 74.942 174.3101
109.916290 74.913 174.3061
110.712791 74.903 174.3323
111.515060 74.914 174.3217
112.323143 74.938 174.2505
113.137085 74.969 174.1412
113.956924 75.005 174.0114
114.782700 75.043 173.8547
115.614464 75.080 173.6584
116.452255 75.110 173.4187
117.296112 75.130 173.1426
118.146095 75.139 172.8378
119.002228 75.138 172.5067
119.864563 75.127 172.1524
120.733154 75.110 171.7849
121.608040 75.088 171.4213
122.489258 75.068 171.0834
123.376869 75.056 170.7833
124.270905 75.056 170.5068
125.171425 75.067 170.2224
126.078468 75.082 169.9100
126.992081 75.089 169.5759
127.912323 75.084 169.2441
128.839233 75.063 168.9418
129.772842 75.030 168.6822
130.713242 74.993 168.4534
131.660431 74.957 168.2305
132.614502 74.924 168.0006
133.575485 74.897 167.7670
134.543427 74.876 167.5338
135.518387 74.862 167.2962
136.500412 74.850 167.0454
137.489548 74.834 166.7754
138.485855 74.810 166.4898
139.489380 74.773 166.2083
140.500168 74.731 165.9590
141.518295 74.691 165.7459
142.543793 74.661 165.5390
143.576721 74.639 165.3123
144.617142 74.619 165.0787
145.665100 74.597 164.8787
146.720642 74.575 164.7259
147.783844 74.552 164.5885
148.854752 74.526 164.4335
149.933411 74.494 164.2597
151.019897 74.456 164.0880
152.114243 74.420 163.9365
153.216522 74.391 163.8056
154.326797 74.369 163.6846
155.445114 74.351 163.5635
156.571533 74.334 163.4341
157.706116 74.313 163.2875
158.848923 74.286 163.1180
160.000000 74.252 162.9303
161.159424 74.213 162.7380
162.327255 74.176 162.5539
163.503540 74.144 162.3819
164.688354 74.118 162.2208
165.881760 74.095 162.0696
167.083801 74.071 161.9282
168.294571 74.044 161.7954
169.514099 74.011 161.6679
170.742462 73.975 161.5411
171.979736 73.938 161.4120
173.225967 73.904 161.2816
174.481232 73.874 161.1517
175.745605 73.846 161.0214
177.019119 73.818 160.8897
178.301880 73.786 160.7587
179.593933 73.750 160.6338
180.895340 73.711 160.5179
