* Measurement data measured by REW V5.20.9
* Source:
* Format:
* Dated: 2022/08/25 23:24:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 9.928 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.928058 70.064 148.1141
10.000000 70.077 147.8960
10.072464 70.090 147.6145
10.145453 70.103 147.2643
10.218971 70.117 146.8398
10.293022 70.134 146.3251
10.367610 70.159 145.6812
10.442738 70.187 144.9522
10.518411 70.216 144.1953
10.594631 70.246 143.4702
10.671404 70.275 142.8181
10.748734 70.304 142.1989
10.826623 70.333 141.5958
10.905077 70.364 140.9956
10.984100 70.398 140.3840
11.063695 70.436 139.7601
11.143867 70.478 139.1326
11.224621 70.521 138.5006
11.305959 70.565 137.8632
11.387886 70.607 137.2181
11.470407 70.648 136.5597
11.553527 70.690 135.8951
11.637249 70.731 135.2338
11.721577 70.773 134.5861
11.806517 70.815 133.9547
11.892071 70.856 133.3340
11.978246 70.899 132.7207
12.065045 70.943 132.1115
12.152473 70.992 131.5055
12.240536 71.043 130.9060
12.329235 71.097 130.3107
12.418578 71.151 129.7173
12.508568 71.206 129.1247
12.599211 71.262 128.5351
12.690510 71.319 127.9472
12.782471 71.376 127.3591
12.875097 71.434 126.7694
12.968395 71.493 126.1795
13.062370 71.553 125.5893
13.157025 71.613 124.9982
13.252366 71.676 124.4056
13.348398 71.739 123.8115
13.445127 71.804 123.2172
13.542556 71.868 122.6237
13.640691 71.931 122.0306
13.739536 71.995 121.4375
13.839099 72.058 120.8470
13.939383 72.117 120.2614
14.040393 72.175 119.6780
14.142136 72.230 119.0992
14.244616 72.282 118.5298
14.347837 72.330 117.9731
14.451808 72.373 117.4261
14.556532 72.414 116.8921
14.662014 72.453 116.3750
14.768262 72.490 115.8768
14.875278 72.525 115.3953
14.983070 72.562 114.9286
15.091644 72.604 114.4772
15.201005 72.648 114.0443
15.311157 72.695 113.6209
15.422109 72.744 113.1986
15.533863 72.797 112.7841
15.646428 72.850 112.3712
15.759809 72.901 111.9485
15.874010 72.949 111.5161
15.989040 72.995 111.0755
16.104904 73.038 110.6228
16.221605 73.077 110.1547
16.339155 73.113 109.6733
16.457554 73.147 109.1836
16.576813 73.182 108.6870
16.696936 73.216 108.1815
16.817928 73.249 107.6735
16.939798 73.283 107.1673
17.062551 73.316 106.6602
17.186193 73.348 106.1525
17.310732 73.378 105.6456
17.436172 73.407 105.1391
17.562521 73.434 104.6273
17.689787 73.460 104.1081
17.817974 73.485 103.5827
17.947090 73.509 103.0458
18.077143 73.533 102.4953
18.208138 73.557 101.9327
18.340080 73.582 101.3577
18.472980 73.608 100.7689
18.606844 73.634 100.1685
18.741676 73.661 99.5597
18.877487 73.688 98.9406
19.014280 73.716 98.3152
19.152065 73.742 97.6858
19.290850 73.768 97.0514
19.430639 73.793 96.4166
19.571442 73.818 95.7820
19.713264 73.843 95.1477
19.856115 73.868 94.5158
20.000000 73.893 93.8864
20.144928 73.920 93.2559
20.290907 73.946 92.6248
20.437943 73.973 91.9909
20.586044 74.001 91.3484
20.735220 74.028 90.6984
20.885475 74.056 90.0393
21.036821 74.085 89.3685
21.189262 74.114 88.6899
21.342808 74.143 88.0070
21.497467 74.171 87.3192
21.653246 74.198 86.6363
21.810154 74.223 85.9578
21.968201 74.246 85.2893
22.127390 74.267 84.6347
22.287735 74.287 83.9941
22.449242 74.309 83.3714
22.611917 74.332 82.7660
22.775772 74.358 82.1782
22.940815 74.388 81.6090
23.107054 74.420 81.0536
23.274498 74.454 80.5131
23.443153 74.490 79.9807
23.613033 74.528 79.4534
23.784142 74.567 78.9281
23.956491 74.609 78.3989
24.130091 74.652 77.8666
24.304947 74.695 77.3281
24.481071 74.738 76.7845
24.658470 74.778 76.2374
24.837156 74.817 75.6871
25.017136 74.853 75.1367
25.198421 74.888 74.5862
25.381020 74.920 74.0378
25.564941 74.952 73.4915
25.750195 74.984 72.9474
25.936790 75.014 72.4052
26.124741 75.045 71.8627
26.314051 75.074 71.3197
26.504732 75.101 70.7729
26.696796 75.127 70.2226
26.890253 75.150 69.6679
27.085112 75.170 69.1106
27.281382 75.187 68.5528
27.479073 75.201 67.9977
27.678198 75.212 67.4485
27.878765 75.221 66.9069
28.080786 75.228 66.3747
28.284271 75.235 65.8491
28.489231 75.243 65.3297
28.695675 75.253 64.8095
28.903616 75.264 64.2871
29.113064 75.277 63.7566
29.324028 75.291 63.2182
29.536524 75.305 62.6701
29.750557 75.318 62.1162
29.966141 75.329 61.5578
30.183289 75.339 61.0000
30.402010 75.350 60.4437
30.622314 75.362 59.8912
30.844217 75.376 59.3413
31.067726 75.392 58.7938
31.292856 75.409 58.2465
31.519617 75.426 57.6996
31.748020 75.444 57.1527
31.978081 75.461 56.6090
32.209808 75.478 56.0699
32.443211 75.497 55.5395
32.678310 75.516 55.0195
32.915108 75.536 54.5113
33.153625 75.556 54.0136
33.393871 75.576 53.5232
33.635857 75.597 53.0372
33.879597 75.618 52.5505
34.125103 75.640 52.0623
34.372387 75.661 51.5717
34.621464 75.681 51.0813
34.872345 75.701 50.5929
35.125042 75.719 50.1082
35.379574 75.738 49.6278
35.635948 75.755 49.1501
35.894180 75.773 48.6737
36.154285 75.789 48.1965
36.416275 75.804 47.7170
36.680161 75.817 47.2349
36.945961 75.829 46.7497
37.213688 75.840 46.2607
37.483353 75.853 45.7648
37.754974 75.867 45.2582
38.028561 75.885 44.7354
38.304131 75.905 44.1901
38.581699 75.926 43.6218
38.861279 75.943 43.0332
39.142883 75.955 42.4316
39.426529 75.959 41.8322
39.712231 75.957 41.2485
40.000000 75.950 40.6908
40.289856 75.939 40.1653
40.581814 75.928 39.6709
40.875885 75.917 39.1975
41.172089 75.909 38.7336
41.470440 75.902 38.2694
41.770950 75.899 37.7979
42.073643 75.899 37.3178
42.378525 75.902 36.8334
42.685616 75.909 36.3485
42.994934 75.920 35.8642
43.306492 75.934 35.3784
43.620308 75.950 34.8867
43.936401 75.967 34.3852
44.254780 75.984 33.8755
44.575470 75.998 33.3661
44.898483 76.010 32.8672
45.223835 76.021 32.3853
45.551544 76.032 31.9184
45.881630 76.045 31.4559
46.214108 76.060 30.9826
46.548996 76.073 30.4871
46.886307 76.083 29.9702
47.226067 76.088 29.4468
47.568283 76.087 28.9393
47.912983 76.084 28.4651
48.260181 76.081 28.0272
48.609894 76.081 27.6125
48.962143 76.083 27.1987
49.316940 76.085 26.7645
49.674313 76.085 26.2980
50.034271 76.081 25.7993
50.396843 76.073 25.2764
50.762039 76.061 24.7407
51.129883 76.045 24.2030
51.500389 76.027 23.6732
51.873581 76.009 23.1600
52.249481 75.995 22.6693
52.628101 75.986 22.2016
53.009464 75.984 21.7513
53.393593 75.989 21.3090
53.780506 75.998 20.8665
54.170223 76.010 20.4201
54.562763 76.024 19.9710
54.958145 76.038 19.5213
55.356396 76.054 19.0717
55.757530 76.069 18.6207
56.161572 76.083 18.1655
56.568542 76.095 17.7035
56.978462 76.103 17.2335
57.391350 76.106 16.7557
57.807232 76.101 16.2717
58.226128 76.090 15.7843
58.648056 76.073 15.2964
59.073048 76.052 14.8093
59.501114 76.029 14.3240
59.932281 76.005 13.8431
60.366577 75.982 13.3727
60.804020 75.962 12.9185
61.244629 75.946 12.4814
61.688435 75.935 12.0546
62.135452 75.929 11.6270
62.585712 75.925 11.1914
63.039234 75.923 10.7488
63.496040 75.921 10.3061
63.956161 75.920 9.8714
64.419617 75.921 9.4491
64.886421 75.923 9.0392
65.356621 75.927 8.6390
65.830215 75.931 8.2443
66.307251 75.934 7.8513
66.787743 75.936 7.4593
67.271713 75.936 7.0700
67.759193 75.933 6.6856
68.250206 75.929 6.3058
68.744774 75.921 5.9283
69.242928 75.910 5.5530
69.744690 75.896 5.1841
70.250084 75.878 4.8280
70.759148 75.859 4.4888
71.271896 75.839 4.1672
71.788361 75.819 3.8622
72.308571 75.799 3.5714
72.832550 75.783 3.2871
73.360321 75.771 2.9956
73.891922 75.765 2.6845
74.427376 75.762 2.3495
74.966705 75.762 1.9953
75.509949 75.764 1.6293
76.057121 75.766 1.2565
76.608261 75.768 0.8815
77.163399 75.768 0.5105
77.722557 75.766 0.1527
78.285767 75.761 -0.1830
78.853058 75.753 -0.4885
79.424461 75.740 -0.7588
80.000000 75.721 -0.9920
80.579712 75.695 -1.1926
81.163628 75.659 -1.3735
81.751770 75.615 -1.5516
82.344177 75.563 -1.7395
82.940880 75.509 -1.9532
83.541901 75.456 -2.2218
84.147285 75.409 -2.5751
84.757050 75.373 -3.0286
85.371231 75.354 -3.6006
85.989868 75.358 -4.3227
86.612984 75.387 -5.2111
87.240616 75.443 -6.2889
87.872803 75.520 -7.6666
88.509560 75.569 -9.4519
89.150940 75.516 -11.3660
89.796967 75.329 -12.6649
90.447670 75.077 -12.6858
91.103088 74.896 -11.5506
91.763260 74.859 -10.0873
92.428215 74.917 -9.0117
93.097992 74.976 -8.4788
93.772614 74.983 -8.2323
94.452133 74.937 -7.9491
95.136566 74.876 -7.4813
95.825966 74.840 -6.9400
96.520363 74.834 -6.5449
97.219788 74.841 -6.3900
97.924286 74.841 -6.3966
98.633881 74.831 -6.4292
99.348625 74.817 -6.3724
100.068542 74.813 -6.1682
100.793686 74.831 -5.8630
101.524078 74.871 -5.5747
102.259766 74.917 -5.3811
103.000778 74.959 -5.2830
103.747162 74.993 -5.2602
104.498962 75.019 -5.3075
105.256203 75.041 -5.4259
106.018929 75.062 -5.6241
106.787186 75.080 -5.9150
107.561012 75.091 -6.2843
108.340446 75.090 -6.6771
109.125526 75.077 -7.0295
109.916290 75.057 -7.3028
110.712791 75.037 -7.4981
111.515060 75.022 -7.6602
112.323143 75.015 -7.8514
113.137085 75.008 -8.1004
113.956924 75.001 -8.3884
114.782700 74.995 -8.6913
115.614464 74.994 -9.0139
116.452255 74.995 -9.3710
117.296112 74.993 -9.7521
118.146095 74.982 -10.1214
119.002228 74.963 -10.4461
119.864563 74.939 -10.7151
120.733154 74.915 -10.9420
121.608040 74.895 -11.1589
122.489258 74.880 -11.3956
123.376869 74.866 -11.6565
124.270905 74.851 -11.9140
125.171425 74.838 -12.1416
126.078468 74.830 -12.3497
126.992081 74.823 -12.5715
127.912323 74.810 -12.8234
128.839233 74.788 -13.0938
129.772842 74.756 -13.3644
130.713242 74.720 -13.6300
131.660431 74.683 -13.8886
132.614502 74.647 -14.1282
133.575485 74.616 -14.3359
134.543427 74.592 -14.5119
135.518387 74.575 -14.6727
136.500412 74.561 -14.8441
137.489548 74.544 -15.0444
138.485855 74.519 -15.2708
139.489380 74.485 -15.5042
140.500168 74.446 -15.7254
141.518295 74.408 -15.9273
142.543793 74.376 -16.1119
143.576721 74.350 -16.2853
144.617142 74.330 -16.4613
145.665100 74.313 -16.6629
146.720642 74.293 -16.9039
147.783844 74.265 -17.1757
148.854752 74.227 -17.4503
149.933411 74.185 -17.6905
151.019897 74.144 -17.8729
152.114243 74.112 -18.0049
153.216522 74.089 -18.1072
154.326797 74.074 -18.1952
155.445114 74.060 -18.2835
156.571533 74.043 -18.3885
157.706116 74.020 -18.5193
158.848923 73.989 -18.6744
160.000000 73.952 -18.8461
161.159424 73.913 -19.0230
162.327255 73.877 -19.1927
163.503540 73.845 -19.3470
164.688354 73.819 -19.4851
165.881760 73.796 -19.6136
167.083801 73.771 -19.7420
168.294571 73.741 -19.8768
169.514099 73.705 -20.0187
170.742462 73.665 -20.1632
171.979736 73.625 -20.3051
173.225967 73.590 -20.4422
174.481232 73.562 -20.5753
175.745605 73.537 -20.7052
177.019119 73.511 -20.8311
178.301880 73.481 -20.9535
179.593933 73.446 -21.0743
180.895340 73.407 -21.1949
182.206177 73.367 -21.3151
183.526520 73.327 -21.4341
184.856430 73.287 -21.5506
186.195984 73.247 -21.6646
187.545227 73.205 -21.7757
188.904266 73.158 -21.8823
190.273132 73.109 -21.9828
191.651932 73.060 -22.0778
193.040726 73.016 -22.1698
194.439575 72.980 -22.2622
195.848572 72.951 -22.3577
197.267761 72.924 -22.4569
198.697250 72.893 -22.5584
