* Measurement data measured by REW V5.20.9
* Source:
* Format:
* Dated: 2022/08/20 13:50:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: SSP L
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 9.928 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.928058 69.319 -27.4868
10.000000 69.337 -27.7099
10.072464 69.354 -27.9977
10.145453 69.371 -28.3536
10.218971 69.389 -28.7815
10.293022 69.412 -29.2966
10.367610 69.443 -29.9407
10.442738 69.479 -30.6680
10.518411 69.516 -31.4189
10.594631 69.552 -32.1310
10.671404 69.585 -32.7602
10.748734 69.617 -33.3466
10.826623 69.648 -33.9103
10.905077 69.682 -34.4687
10.984100 69.719 -35.0396
11.063695 69.762 -35.6219
11.143867 69.809 -36.2041
11.224621 69.858 -36.7923
11.305959 69.908 -37.3930
11.387886 69.958 -38.0130
11.470407 70.009 -38.6538
11.553527 70.060 -39.3088
11.637249 70.112 -39.9703
11.721577 70.163 -40.6302
11.806517 70.213 -41.2882
11.892071 70.262 -41.9485
11.978246 70.312 -42.6111
12.065045 70.362 -43.2763
12.152473 70.414 -43.9457
12.240536 70.467 -44.6205
12.329235 70.521 -45.2959
12.418578 70.573 -45.9665
12.508568 70.624 -46.6298
12.599211 70.674 -47.2905
12.690510 70.722 -47.9446
12.782471 70.771 -48.5870
12.875097 70.819 -49.2139
12.968395 70.867 -49.8280
13.062370 70.914 -50.4290
13.157025 70.964 -51.0163
13.252366 71.017 -51.5880
13.348398 71.072 -52.1423
13.445127 71.130 -52.6845
13.542556 71.190 -53.2206
13.640691 71.253 -53.7486
13.739536 71.319 -54.2661
13.839099 71.386 -54.7819
13.939383 71.454 -55.3048
14.040393 71.523 -55.8317
14.142136 71.592 -56.3621
14.244616 71.660 -56.8997
14.347837 71.724 -57.4483
14.451808 71.787 -58.0074
14.556532 71.846 -58.5727
14.662014 71.903 -59.1396
14.768262 71.956 -59.7118
14.875278 72.006 -60.2870
14.983070 72.055 -60.8562
15.091644 72.105 -61.4144
15.201005 72.154 -61.9664
15.311157 72.203 -62.5069
15.422109 72.251 -63.0303
15.533863 72.298 -63.5369
15.646428 72.344 -64.0285
15.759809 72.387 -64.5060
15.874010 72.425 -64.9667
15.989040 72.459 -65.4128
16.104904 72.492 -65.8503
16.221605 72.523 -66.2792
16.339155 72.552 -66.6984
16.457554 72.582 -67.1155
16.576813 72.616 -67.5332
16.696936 72.651 -67.9488
16.817928 72.688 -68.3694
16.939798 72.728 -68.7986
17.062551 72.770 -69.2339
17.186193 72.811 -69.6802
17.310732 72.851 -70.1410
17.436172 72.889 -70.6144
17.562521 72.926 -71.1010
17.689787 72.959 -71.6024
17.817974 72.990 -72.1178
17.947090 73.019 -72.6424
18.077143 73.046 -73.1761
18.208138 73.071 -73.7187
18.340080 73.098 -74.2646
18.472980 73.125 -74.8132
18.606844 73.152 -75.3662
18.741676 73.182 -75.9236
18.877487 73.213 -76.4842
19.014280 73.246 -77.0533
19.152065 73.280 -77.6344
19.290850 73.315 -78.2262
19.430639 73.350 -78.8326
19.571442 73.384 -79.4558
19.713264 73.419 -80.0930
19.856115 73.452 -80.7420
20.000000 73.484 -81.4045
20.144928 73.514 -82.0724
20.290907 73.542 -82.7447
20.437943 73.567 -83.4193
20.586044 73.591 -84.0885
20.735220 73.613 -84.7541
20.885475 73.634 -85.4108
21.036821 73.656 -86.0563
21.189262 73.679 -86.6911
21.342808 73.705 -87.3134
21.497467 73.733 -87.9232
21.653246 73.764 -88.5261
21.810154 73.796 -89.1202
21.968201 73.830 -89.7132
22.127390 73.866 -90.3091
22.287735 73.904 -90.9086
22.449242 73.945 -91.5183
22.611917 73.988 -92.1365
22.775772 74.032 -92.7608
22.940815 74.078 -93.3925
23.107054 74.124 -94.0225
23.274498 74.168 -94.6502
23.443153 74.211 -95.2693
23.613033 74.252 -95.8755
23.784142 74.291 -96.4679
23.956491 74.331 -97.0425
24.130091 74.371 -97.6008
24.304947 74.411 -98.1429
24.481071 74.452 -98.6703
24.658470 74.493 -99.1893
24.837156 74.534 -99.7001
25.017136 74.575 -100.2120
25.198421 74.615 -100.7247
25.381020 74.655 -101.2440
25.564941 74.694 -101.7693
25.750195 74.731 -102.2995
25.936790 74.768 -102.8341
26.124741 74.802 -103.3677
26.314051 74.834 -103.8999
26.504732 74.863 -104.4266
26.696796 74.890 -104.9484
26.890253 74.915 -105.4653
27.085112 74.938 -105.9792
27.281382 74.960 -106.4930
27.479073 74.980 -107.0093
27.678198 74.999 -107.5310
27.878765 75.016 -108.0595
28.080786 75.031 -108.5963
28.284271 75.045 -109.1396
28.489231 75.057 -109.6894
28.695675 75.068 -110.2416
28.903616 75.079 -110.7952
29.113064 75.091 -111.3466
29.324028 75.102 -111.8951
29.536524 75.114 -112.4392
29.750557 75.126 -112.9801
29.966141 75.138 -113.5184
30.183289 75.152 -114.0577
30.402010 75.168 -114.5997
30.622314 75.187 -115.1475
30.844217 75.209 -115.7023
31.067726 75.233 -116.2647
31.292856 75.257 -116.8325
31.519617 75.282 -117.4028
31.748020 75.306 -117.9724
31.978081 75.330 -118.5353
32.209808 75.354 -119.0894
32.443211 75.380 -119.6299
32.678310 75.406 -120.1558
32.915108 75.434 -120.6662
33.153625 75.462 -121.1630
33.393871 75.492 -121.6500
33.635857 75.522 -122.1302
33.879597 75.554 -122.6107
34.125103 75.585 -123.0937
34.372387 75.617 -123.5817
34.621464 75.647 -124.0749
34.872345 75.676 -124.5710
35.125042 75.702 -125.0685
35.379574 75.726 -125.5638
35.635948 75.747 -126.0547
35.894180 75.765 -126.5400
36.154285 75.781 -127.0186
36.416275 75.795 -127.4914
36.680161 75.805 -127.9598
36.945961 75.814 -128.4258
37.213688 75.823 -128.8926
37.483353 75.831 -129.3637
37.754974 75.842 -129.8426
38.028561 75.856 -130.3336
38.304131 75.872 -130.8409
38.581699 75.890 -131.3659
38.861279 75.906 -131.9080
39.142883 75.920 -132.4646
39.426529 75.929 -133.0289
39.712231 75.933 -133.5935
40.000000 75.934 -134.1521
40.289856 75.932 -134.6993
40.581814 75.929 -135.2321
40.875885 75.925 -135.7521
41.172089 75.921 -136.2635
41.470440 75.920 -136.7721
41.770950 75.922 -137.2842
42.073643 75.929 -137.8060
42.378525 75.939 -138.3407
42.685616 75.952 -138.8867
42.994934 75.967 -139.4379
43.306492 75.981 -139.9848
43.620308 75.994 -140.5166
43.936401 76.008 -141.0240
44.254780 76.022 -141.5038
44.575470 76.038 -141.9612
44.898483 76.056 -142.4067
45.223835 76.078 -142.8527
45.551544 76.101 -143.3096
45.881630 76.124 -143.7836
46.214108 76.145 -144.2760
46.548996 76.163 -144.7850
46.886307 76.178 -145.3069
47.226067 76.189 -145.8360
47.568283 76.197 -146.3640
47.912983 76.202 -146.8801
48.260181 76.204 -147.3752
48.609894 76.206 -147.8472
48.962143 76.208 -148.3051
49.316940 76.210 -148.7666
49.674313 76.212 -149.2496
50.034271 76.211 -149.7618
50.396843 76.208 -150.2955
50.762039 76.200 -150.8327
51.129883 76.191 -151.3578
51.500389 76.185 -151.8682
51.873581 76.183 -152.3758
52.249481 76.187 -152.8953
52.628101 76.194 -153.4292
53.009464 76.201 -153.9603
53.393593 76.206 -154.4599
53.780506 76.214 -154.9066
54.170223 76.227 -155.3026
54.562763 76.249 -155.6769
54.958145 76.280 -156.0717
55.356396 76.315 -156.5216
55.757530 76.347 -157.0385
56.161572 76.368 -157.6067
56.568542 76.372 -158.1893
56.978462 76.360 -158.7401
57.391350 76.332 -159.2170
57.807232 76.296 -159.5958
58.226128 76.261 -159.8817
58.648056 76.234 -160.1129
59.073048 76.220 -160.3517
59.501114 76.218 -160.6626
59.932281 76.221 -161.0814
60.366577 76.222 -161.5971
60.804020 76.214 -162.1597
61.244629 76.200 -162.7125
61.688435 76.185 -163.2226
62.135452 76.177 -163.6970
62.585712 76.177 -164.1686
63.039234 76.183 -164.6650
63.496040 76.190 -165.1871
63.956161 76.197 -165.7118
64.419617 76.203 -166.2113
64.886421 76.210 -166.6732
65.356621 76.221 -167.1026
65.830215 76.234 -167.5133
66.307251 76.246 -167.9172
66.787743 76.256 -168.3195
67.271713 76.261 -168.7188
67.759193 76.260 -169.1068
68.250206 76.252 -169.4731
68.744774 76.239 -169.8118
69.242928 76.223 -170.1288
69.744690 76.206 -170.4387
70.250084 76.190 -170.7564
70.759148 76.175 -171.0874
71.271896 76.159 -171.4279
71.788361 76.145 -171.7705
72.308571 76.133 -172.1105
72.832550 76.125 -172.4464
73.360321 76.123 -172.7777
73.891922 76.127 -173.1044
74.427376 76.137 -173.4280
74.966705 76.151 -173.7496
75.509949 76.164 -174.0676
76.057121 76.175 -174.3780
76.608261 76.182 -174.6792
77.163399 76.182 -174.9749
77.722557 76.176 -175.2698
78.285767 76.163 -175.5625
78.853058 76.146 -175.8478
79.424461 76.127 -176.1284
80.000000 76.107 -176.4179
80.579712 76.088 -176.7285
81.163628 76.066 -177.0575
81.751770 76.044 -177.3883
82.344177 76.023 -177.7047
82.940880 76.006 -178.0001
83.541901 75.996 -178.2762
84.147285 75.993 -178.5391
84.757050 75.993 -178.8014
85.371231 75.994 -179.0779
85.989868 75.990 -179.3755
86.612984 75.977 -179.6872
87.240616 75.954 179.9917
87.872803 75.920 179.6597
88.509560 75.872 179.3323
89.150940 75.815 179.0529
89.796967 75.762 178.8444
90.447670 75.725 178.6645
91.103088 75.705 178.4369
91.763260 75.693 178.1415
92.428215 75.681 177.8264
93.097992 75.671 177.5401
93.772614 75.666 177.2856
94.452133 75.665 177.0419
95.136566 75.664 176.8021
95.825966 75.658 176.5741
96.520363 75.644 176.3652
97.219788 75.619 176.1812
97.924286 75.584 176.0284
98.633881 75.544 175.9037
99.348625 75.504 175.7864
100.068542 75.466 175.6506
100.793686 75.430 175.4857
101.524078 75.396 175.3040
102.259766 75.364 175.1343
103.000778 75.335 175.0075
103.747162 75.314 174.9368
104.498962 75.303 174.9130
105.256203 75.300 174.9117
106.018929 75.303 174.9007
106.787186 75.305 174.8500
107.561012 75.299 174.7602
108.340446 75.284 174.6586
109.125526 75.263 174.5620
109.916290 75.240 174.4631
110.712791 75.220 174.3527
111.515060 75.204 174.2325
112.323143 75.197 174.1030
113.137085 75.198 173.9603
113.956924 75.205 173.8091
114.782700 75.214 173.6622
115.614464 75.222 173.5250
116.452255 75.228 173.3873
117.296112 75.227 173.2342
118.146095 75.218 173.0579
119.002228 75.201 172.8610
119.864563 75.181 172.6497
120.733154 75.165 172.4246
121.608040 75.156 172.1838
122.489258 75.158 171.9297
123.376869 75.169 171.6681
124.270905 75.185 171.4081
125.171425 75.195 171.1690
126.078468 75.194 170.9850
126.992081 75.178 170.8799
127.912323 75.152 170.8368
128.839233 75.120 170.8107
129.772842 75.089 170.7482
130.713242 75.064 170.5936
131.660431 75.044 170.3205
132.614502 75.028 169.9592
133.575485 75.018 169.5647
134.543427 75.014 169.1833
135.518387 75.013 168.8464
136.500412 75.010 168.5717
137.489548 75.002 168.3542
138.485855 74.985 168.1725
139.489380 74.958 168.0062
140.500168 74.924 167.8409
141.518295 74.889 167.6673
142.543793 74.858 167.4789
143.576721 74.835 167.2753
144.617142 74.819 167.0634
145.665100 74.806 166.8537
146.720642 74.792 166.6535
147.783844 74.772 166.4667
148.854752 74.747 166.2914
149.933411 74.716 166.1180
151.019897 74.684 165.9336
152.114243 74.654 165.7333
153.216522 74.627 165.5264
154.326797 74.606 165.3248
155.445114 74.589 165.1334
156.571533 74.573 164.9508
157.706116 74.554 164.7739
158.848923 74.529 164.6005
160.000000 74.498 164.4295
161.159424 74.463 164.2624
162.327255 74.429 164.1019
163.503540 74.399 163.9480
164.688354 74.374 163.7968
165.881760 74.353 163.6440
167.083801 74.331 163.4892
168.294571 74.303 163.3364
169.514099 74.269 163.1898
170.742462 74.232 163.0500
171.979736 74.195 162.9158
173.225967 74.163 162.7843
174.481232 74.136 162.6516
175.745605 74.114 162.5143
177.019119 74.090 162.3746
178.301880 74.061 162.2382
179.593933 74.027 162.1071
180.895340 73.990 161.9796
